iteration,c0,m0,s0,mx0,mn0
0,4,0.15031,0.065885,0.233512,0.0622279
1,4,0.150267,0.0659537,0.233505,0.062081
2,4,0.150223,0.0660224,0.233497,0.0619342
3,4,0.15018,0.0660912,0.23349,0.0617874
4,4,0.150137,0.06616,0.233482,0.0616408
5,4,0.150093,0.0662288,0.233474,0.0614942
6,5,0.180573,0.0851053,0.302665,0.0613479
7,4,0.150007,0.0663668,0.233459,0.0612013
8,5,0.180443,0.0851278,0.302357,0.0610547
9,8,0.237896,0.10297,0.361905,0.0609083
10,4,0.14988,0.0665746,0.233436,0.0607622
11,4,0.149837,0.0666437,0.233428,0.0606161
12,4,0.149795,0.0667128,0.233419,0.0604699
13,8,0.237822,0.10312,0.362682,0.0603236
14,4,0.14971,0.0668511,0.233401,0.0601773
15,4,0.149667,0.0669202,0.233391,0.0600314
16,4,0.149625,0.0669894,0.233381,0.0598854
17,8,0.237749,0.103273,0.363461,0.0597394
18,4,0.14954,0.067128,0.233362,0.0595934
19,8,0.237713,0.103351,0.363851,0.0594477
20,4,0.149456,0.0672671,0.233342,0.0593017
21,4,0.149415,0.0673367,0.233332,0.0591556
22,5,0.195245,0.10978,0.378731,0.0590098
23,4,0.149332,0.0674757,0.23331,0.058864
24,4,0.14929,0.067545,0.233298,0.0587185
25,4,0.149249,0.0676145,0.233287,0.0585729
26,4,0.149208,0.0676841,0.233276,0.0584272
27,4,0.149167,0.0677536,0.233265,0.058282
28,4,0.149126,0.067823,0.233253,0.0581368
29,5,0.179106,0.0853951,0.299186,0.0579914
30,8,0.237525,0.103791,0.366002,0.0578462
31,4,0.149005,0.068031,0.233216,0.0577012
32,4,0.148965,0.0681005,0.233204,0.0575562
33,4,0.148925,0.0681702,0.233192,0.0574114
34,4,0.148885,0.06824,0.23318,0.0572666
35,4,0.148846,0.0683097,0.233168,0.0571222
36,4,0.148806,0.0683795,0.233155,0.0569778
37,5,0.178615,0.0855088,0.298005,0.0568337
38,4,0.148728,0.0685189,0.23313,0.0566897
39,4,0.148689,0.0685887,0.233117,0.0565461
40,4,0.14865,0.0686585,0.233105,0.0564025
41,4,0.148611,0.0687282,0.233092,0.0562592
42,4,0.148572,0.0687979,0.233079,0.056116
43,4,0.148534,0.0688674,0.233065,0.0559731
44,5,0.193806,0.109608,0.375047,0.0558304
45,6,0.210925,0.107176,0.374882,0.0556876
46,6,0.210848,0.107159,0.374716,0.0555448
47,6,0.210771,0.107143,0.374551,0.0554022
48,6,0.210694,0.107126,0.374386,0.0552598
49,6,0.210617,0.10711,0.374222,0.0551174
50,6,0.210541,0.107094,0.374057,0.0549753
51,6,0.210464,0.107078,0.373892,0.0548337
52,6,0.210388,0.107061,0.373728,0.0546924
53,6,0.210312,0.107045,0.373563,0.0545511
54,7,0.26444,0.145905,0.450909,0.0544101
55,6,0.21016,0.107014,0.373235,0.054269
56,6,0.210084,0.106998,0.373071,0.0541278
57,9,0.252215,0.107756,0.372907,0.0539865
58,9,0.252186,0.107776,0.372744,0.0538453
59,6,0.209857,0.106953,0.372581,0.0537046
60,6,0.209782,0.106938,0.372418,0.0535641
61,6,0.209707,0.106923,0.372255,0.053424
62,9,0.252068,0.10786,0.372303,0.053284
63,6,0.209558,0.106893,0.37193,0.0531442
64,6,0.209484,0.106878,0.371767,0.0530042
65,9,0.251981,0.107925,0.372897,0.0528642
66,6,0.209335,0.106849,0.371443,0.0527246
67,6,0.209261,0.106835,0.371281,0.0525855
68,6,0.209187,0.10682,0.371119,0.0524464
69,6,0.209113,0.106806,0.370958,0.0523076
70,6,0.20904,0.106792,0.370796,0.0521687
71,6,0.208967,0.106778,0.370634,0.05203
72,6,0.208894,0.106764,0.370473,0.0518913
73,6,0.208821,0.10675,0.370312,0.051753
74,9,0.251727,0.108129,0.374682,0.0516146
75,6,0.208676,0.106723,0.369991,0.0514763
76,6,0.208604,0.10671,0.369832,0.0513382
77,6,0.208532,0.106697,0.369672,0.0512004
78,6,0.208461,0.106685,0.369513,0.0510626
79,6,0.208389,0.106672,0.369354,0.0509246
80,6,0.208318,0.10666,0.369196,0.0507867
81,6,0.208246,0.106648,0.369038,0.0506488
82,6,0.208176,0.106636,0.36888,0.0505108
83,6,0.208105,0.106624,0.368722,0.0503729
84,6,0.208035,0.106612,0.368565,0.0502352
85,6,0.207964,0.106601,0.368409,0.0500973
86,6,0.207894,0.10659,0.368252,0.0499599
87,6,0.207824,0.106578,0.368096,0.0498228
88,6,0.207754,0.106567,0.367939,0.0496856
89,6,0.207684,0.106556,0.367783,0.0495482
90,6,0.207614,0.106546,0.367627,0.0494113
91,6,0.207545,0.106535,0.367471,0.0492744
92,6,0.207475,0.106524,0.367315,0.049138
93,6,0.207406,0.106513,0.36716,0.0490016
94,6,0.207337,0.106503,0.367005,0.0488655
95,6,0.207269,0.106493,0.36685,0.0487299
96,7,0.260842,0.144491,0.444382,0.0485946
97,6,0.207132,0.106472,0.366543,0.0484594
98,6,0.207064,0.106462,0.366389,0.0483241
99,6,0.206997,0.106452,0.366236,0.0481893
100,6,0.206929,0.106442,0.366083,0.0480545
101,6,0.206862,0.106433,0.36593,0.0479198
102,6,0.206795,0.106424,0.365778,0.0477853
103,6,0.206728,0.106414,0.365626,0.0476512
104,6,0.206661,0.106405,0.365474,0.0475177
105,6,0.206594,0.106396,0.365321,0.0473842
106,9,0.250924,0.108985,0.38105,0.0472507
107,6,0.206462,0.106378,0.365018,0.0471175
108,6,0.206397,0.106369,0.364867,0.0469847
109,7,0.259777,0.144064,0.442306,0.046852
110,7,0.259697,0.144031,0.442146,0.0467199
111,9,0.250813,0.109133,0.382048,0.046588
112,9,0.250792,0.109163,0.382247,0.0464561
113,6,0.206072,0.106326,0.364114,0.0463248
114,6,0.206007,0.106317,0.363965,0.0461937
115,6,0.205943,0.106309,0.363815,0.0460627
