iteration,c0,m0,s0,mx0,mn0
0,3,0.102922,0.0710829,0.196101,0.0236607
1,3,0.102868,0.0709608,0.195926,0.023808
2,3,0.102813,0.0708388,0.195752,0.0239556
3,3,0.102759,0.0707169,0.195578,0.0241034
4,3,0.102705,0.070595,0.195404,0.0242516
5,3,0.102652,0.0704732,0.195231,0.0244005
6,3,0.102599,0.0703514,0.195058,0.0245497
7,3,0.102546,0.0702297,0.194885,0.0246993
8,3,0.102493,0.070108,0.194712,0.0248496
9,3,0.102441,0.0699863,0.19454,0.0250001
10,3,0.102388,0.0698647,0.194368,0.0251511
11,3,0.102336,0.0697431,0.194196,0.0253024
12,3,0.102284,0.0696217,0.194025,0.0254541
13,4,0.170403,0.13253,0.374912,0.0256064
14,4,0.170319,0.132432,0.374732,0.0257592
15,4,0.170236,0.132334,0.374552,0.0259125
16,4,0.170152,0.132237,0.374371,0.0260662
17,4,0.170069,0.132139,0.37419,0.0262204
18,4,0.169986,0.132041,0.374009,0.026375
19,4,0.169904,0.131942,0.373828,0.0265301
20,4,0.169821,0.131844,0.373647,0.0266859
21,4,0.169739,0.131746,0.373465,0.0268422
22,4,0.169656,0.131647,0.373283,0.0269986
23,4,0.169574,0.131549,0.373101,0.0271554
24,4,0.169492,0.13145,0.372919,0.0273127
25,4,0.16941,0.131351,0.372737,0.0274705
26,4,0.169329,0.131252,0.372555,0.0276289
27,4,0.169248,0.131153,0.372372,0.0277874
28,4,0.169167,0.131054,0.37219,0.0279463
29,4,0.169086,0.130954,0.372007,0.0281056
30,4,0.169005,0.130855,0.371825,0.0282654
31,4,0.168924,0.130756,0.371642,0.0284255
32,4,0.168844,0.130657,0.371459,0.0285858
33,4,0.168763,0.130557,0.371277,0.0287467
34,4,0.168683,0.130458,0.371094,0.0289082
35,4,0.168603,0.130358,0.370911,0.02907
36,4,0.168523,0.130259,0.370728,0.0292319
37,4,0.168443,0.130159,0.370544,0.0293944
38,6,0.268783,0.17779,0.491818,0.0295572
39,4,0.168284,0.129959,0.370177,0.0297204
40,4,0.168205,0.129859,0.369993,0.0298842
41,4,0.168126,0.129759,0.36981,0.0300482
42,4,0.168047,0.129658,0.369626,0.0302124
43,6,0.268537,0.177754,0.492794,0.0303767
44,4,0.16789,0.129458,0.369258,0.0305415
45,4,0.167811,0.129358,0.369074,0.0307062
46,4,0.167733,0.129258,0.36889,0.0308711
47,4,0.167654,0.129157,0.368706,0.0310364
48,4,0.167576,0.129057,0.368521,0.0312016
49,4,0.167498,0.128957,0.368337,0.0313669
50,4,0.16742,0.128857,0.368152,0.0315323
51,4,0.167341,0.128757,0.367968,0.0316981
52,4,0.167263,0.128657,0.367784,0.0318643
53,4,0.167186,0.128557,0.367599,0.0320305
54,4,0.167108,0.128457,0.367415,0.0321972
55,4,0.16703,0.128357,0.36723,0.0323641
56,4,0.166952,0.128257,0.367046,0.0325314
57,6,0.26786,0.177666,0.49552,0.0326992
58,4,0.166797,0.128056,0.366676,0.0328672
59,4,0.16672,0.127956,0.366491,0.0330352
60,6,0.267716,0.17765,0.496103,0.0332033
61,4,0.166565,0.127756,0.36612,0.0333713
62,4,0.166488,0.127656,0.365935,0.0335393
63,4,0.166411,0.127556,0.365749,0.0337074
64,4,0.166334,0.127455,0.365563,0.0338758
65,4,0.166257,0.127355,0.365378,0.0340446
66,4,0.166181,0.127255,0.365192,0.0342134
67,4,0.166104,0.127155,0.365006,0.0343826
68,4,0.166027,0.127054,0.36482,0.0345521
69,4,0.165951,0.126954,0.364633,0.0347216
70,4,0.165875,0.126854,0.364447,0.0348911
71,4,0.165798,0.126754,0.364261,0.0350608
72,4,0.165722,0.126654,0.364074,0.0352306
73,4,0.165645,0.126554,0.363888,0.0354006
74,4,0.165569,0.126454,0.363702,0.0355705
75,4,0.165493,0.126354,0.363515,0.0357404
76,4,0.165417,0.126254,0.363328,0.0359108
77,4,0.165341,0.126154,0.363142,0.0360812
78,4,0.165265,0.126054,0.362955,0.0362517
79,4,0.16519,0.125955,0.362768,0.0364225
80,4,0.165114,0.125855,0.362581,0.0365937
81,4,0.165039,0.125755,0.362394,0.036765
