iteration,c0,m0,s0,mx0,mn0
0,7,0.142545,0.0868402,0.269826,0.0422933
1,8,0.11702,0.0664475,0.257909,0.0424896
2,7,0.112317,0.0696415,0.257935,0.0426858
3,9,0.158646,0.108588,0.37061,0.0428819
4,8,0.141557,0.0964798,0.370435,0.0430781
5,7,0.149191,0.115978,0.370261,0.0432741
6,7,0.146376,0.110135,0.348686,0.0434702
7,8,0.20122,0.118615,0.369912,0.0517548
8,7,0.144605,0.0856146,0.269958,0.0438626
9,10,0.158893,0.10238,0.369564,0.0440588
10,5,0.125098,0.122997,0.36939,0.044255
11,6,0.149348,0.124456,0.369217,0.0444512
12,6,0.149448,0.124322,0.369043,0.0446474
13,6,0.149549,0.124187,0.36887,0.0448436
14,6,0.14965,0.124053,0.368697,0.0450399
15,8,0.15088,0.107335,0.368524,0.0452361
16,7,0.150445,0.114612,0.368351,0.0454321
17,7,0.150559,0.114488,0.368178,0.0456281
18,9,0.149634,0.0959462,0.346801,0.0458241
19,10,0.189604,0.110006,0.367832,0.0460202
20,9,0.195847,0.112291,0.367659,0.0462161
21,11,0.179656,0.109422,0.367487,0.0464121
22,10,0.189867,0.10961,0.367314,0.0466079
23,9,0.196073,0.111887,0.367142,0.0468038
24,11,0.179944,0.109039,0.36697,0.0469998
25,9,0.193578,0.114605,0.366798,0.0471958
26,9,0.201797,0.108998,0.366626,0.0473917
27,9,0.201874,0.108864,0.366454,0.0475877
28,9,0.201951,0.10873,0.366282,0.0477837
29,9,0.202029,0.108595,0.366111,0.0479796
30,9,0.19397,0.113924,0.36594,0.0481754
31,9,0.202184,0.108327,0.36577,0.0483713
32,9,0.202262,0.108193,0.365599,0.0485673
33,9,0.202339,0.10806,0.365428,0.0487631
34,10,0.190929,0.108033,0.365257,0.0489591
35,10,0.183017,0.112698,0.365087,0.0491549
36,10,0.194279,0.103951,0.364917,0.0574883
37,9,0.194523,0.112975,0.364747,0.0495467
38,10,0.191286,0.107511,0.364577,0.0497426
39,9,0.197295,0.109741,0.364407,0.0499384
40,11,0.181494,0.10701,0.364237,0.0501344
41,10,0.191555,0.10712,0.364068,0.0503302
42,9,0.197527,0.109341,0.363899,0.050526
43,9,0.197605,0.109208,0.36373,0.0507218
44,11,0.181886,0.106506,0.363561,0.0509175
45,9,0.195159,0.111898,0.363393,0.0511131
46,9,0.203361,0.10633,0.363225,0.0513087
47,9,0.20344,0.106198,0.363056,0.0515042
48,9,0.20352,0.106065,0.362889,0.0516997
49,9,0.203599,0.105933,0.362721,0.0518952
50,10,0.192366,0.105955,0.362554,0.0520907
51,9,0.203759,0.10567,0.362387,0.0522863
52,9,0.203839,0.105538,0.362219,0.0524818
53,9,0.203919,0.105407,0.362052,0.0526774
54,9,0.203999,0.105275,0.361885,0.052873
55,9,0.204079,0.105144,0.361719,0.0530687
56,9,0.204159,0.105012,0.361552,0.0532642
57,9,0.204239,0.104881,0.361385,0.0534597
58,9,0.20432,0.10475,0.361219,0.0536551
59,9,0.2044,0.104619,0.361053,0.0538504
60,9,0.198937,0.106964,0.360887,0.0540457
61,11,0.183568,0.104383,0.360721,0.054241
62,9,0.199095,0.106702,0.360556,0.0544363
63,11,0.183768,0.104135,0.36039,0.0546315
64,10,0.19364,0.104162,0.360225,0.0548267
65,9,0.199332,0.10631,0.36006,0.0550219
66,11,0.184067,0.103764,0.359896,0.0552172
67,10,0.193915,0.10378,0.359732,0.0554124
68,9,0.199571,0.105918,0.359568,0.0556076
69,11,0.184368,0.103393,0.359404,0.0558028
70,9,0.19973,0.105657,0.35924,0.0559979
71,11,0.184568,0.103146,0.359076,0.0561928
72,10,0.194373,0.103146,0.358913,0.0563879
73,9,0.199969,0.105267,0.35875,0.0565828
74,11,0.184869,0.102777,0.358587,0.0567779
75,10,0.194648,0.102767,0.358424,0.0569729
76,9,0.200208,0.104877,0.358262,0.0571681
77,11,0.18517,0.102408,0.3581,0.0573632
78,10,0.194924,0.102389,0.357938,0.0575582
79,9,0.200449,0.104489,0.357776,0.0577531
80,11,0.185473,0.102041,0.357614,0.0579479
81,9,0.198072,0.107146,0.357453,0.0581427
82,9,0.206269,0.101636,0.357291,0.0583374
83,9,0.198236,0.106887,0.35713,0.0585321
84,9,0.206433,0.101379,0.356969,0.0587267
85,9,0.206516,0.101251,0.356808,0.0589214
86,9,0.206598,0.101124,0.356648,0.0591162
87,9,0.206681,0.100996,0.356488,0.0593109
88,9,0.198648,0.106241,0.356328,0.0595056
89,9,0.198731,0.106113,0.356168,0.0597004
90,9,0.20693,0.100614,0.356009,0.0598951
91,9,0.207014,0.100486,0.355849,0.0600898
92,10,0.196224,0.100642,0.35569,0.0602844
93,9,0.201583,0.102693,0.355531,0.0604789
94,11,0.186896,0.100342,0.355373,0.0606735
95,10,0.196506,0.100272,0.355214,0.0608681
96,9,0.201829,0.102312,0.355056,0.0610627
97,11,0.187203,0.0999811,0.354898,0.0612574
