iteration,c0,m0,s0,mx0,mn0
0,6,0.120939,0.0623787,0.193483,0.00870221
1,5,0.101674,0.060772,0.193681,0.00879064
2,5,0.101706,0.0607891,0.19388,0.00888265
3,6,0.164996,0.0436039,0.232134,0.114907
4,7,0.167809,0.0903852,0.314055,0.00907845
5,8,0.159203,0.0874985,0.313876,0.00918157
6,7,0.15452,0.0925145,0.313696,0.0092884
7,7,0.154514,0.092428,0.313516,0.00939881
8,7,0.154507,0.0923409,0.313337,0.00951271
9,7,0.149019,0.0886152,0.313157,0.00962962
10,5,0.170291,0.0461389,0.230766,0.114766
11,7,0.16773,0.0899627,0.312796,0.00987167
12,7,0.16772,0.0899004,0.312615,0.00999663
13,7,0.167711,0.0898375,0.312434,0.0101245
14,7,0.167702,0.0897744,0.312253,0.0102547
15,7,0.167693,0.0897107,0.312072,0.0103875
16,7,0.167685,0.0896467,0.311891,0.0105225
17,7,0.167677,0.0895823,0.311709,0.01066
18,7,0.16767,0.0895175,0.311527,0.0107994
19,7,0.167663,0.0894524,0.311345,0.0109413
20,7,0.167656,0.089387,0.311163,0.011085
21,7,0.16765,0.0893214,0.310981,0.0112309
22,7,0.167644,0.0892556,0.310799,0.0113784
23,6,0.176494,0.0934435,0.310617,0.0115278
24,6,0.176491,0.0933682,0.310435,0.0116791
25,7,0.167629,0.0890567,0.310252,0.0118322
26,6,0.176486,0.093217,0.31007,0.011987
27,7,0.16762,0.0889231,0.309887,0.0121433
28,7,0.167616,0.088856,0.309704,0.0123012
29,8,0.159638,0.0856923,0.309521,0.0124602
30,7,0.154454,0.090334,0.309338,0.0126205
31,7,0.154455,0.0902404,0.309155,0.012782
32,7,0.154456,0.0901466,0.308971,0.0129449
33,7,0.154456,0.0900528,0.308788,0.0131089
34,7,0.167596,0.0884526,0.308604,0.013274
35,7,0.167594,0.0883852,0.30842,0.0134402
36,7,0.167591,0.0883178,0.308236,0.0136074
37,7,0.167589,0.0882505,0.308052,0.0137757
38,7,0.167587,0.0881831,0.307868,0.0139449
39,7,0.167585,0.0881158,0.307683,0.0141152
40,7,0.167583,0.0880484,0.307499,0.0142862
41,7,0.167582,0.0879812,0.307314,0.0144582
42,7,0.16758,0.0879139,0.30713,0.0146311
43,7,0.167579,0.0878466,0.306945,0.0148049
44,7,0.167578,0.0877794,0.306761,0.0149795
45,7,0.167577,0.0877123,0.306576,0.0151546
46,7,0.167576,0.0876454,0.306392,0.0153304
47,7,0.167576,0.0875785,0.306207,0.0155067
48,7,0.167575,0.0875117,0.306022,0.0156839
49,7,0.167575,0.0874449,0.305837,0.015862
50,7,0.13934,0.0679782,0.223058,0.0160408
51,8,0.160154,0.0839995,0.305467,0.0162205
52,7,0.13945,0.0679102,0.222676,0.0164009
53,8,0.160204,0.0838478,0.305096,0.0165818
54,7,0.154508,0.0880824,0.30491,0.0167634
55,7,0.154511,0.0879891,0.304725,0.0169456
56,7,0.154515,0.0878959,0.304539,0.0171284
57,7,0.154519,0.0878029,0.304353,0.0173116
58,7,0.154523,0.0877099,0.304168,0.0174952
59,7,0.154526,0.0876171,0.303982,0.0176792
60,7,0.167578,0.0867178,0.303795,0.0178635
61,6,0.176526,0.0905525,0.303609,0.0180485
62,7,0.16758,0.0865873,0.303422,0.0182338
63,7,0.140062,0.0675555,0.220583,0.0184196
64,8,0.160485,0.0830253,0.303049,0.0186056
65,7,0.151983,0.0853359,0.302863,0.0187923
66,5,0.170287,0.0485777,0.220015,0.108682
67,7,0.167586,0.0862646,0.302489,0.0191667
68,7,0.140344,0.0674061,0.219637,0.0193544
69,8,0.160615,0.082659,0.302114,0.0195425
70,7,0.154573,0.0866041,0.301927,0.0197309
71,7,0.152324,0.084996,0.301739,0.0199197
72,5,0.170298,0.0489379,0.218882,0.107705
73,7,0.167594,0.0858837,0.301364,0.0202982
74,7,0.167596,0.085821,0.301176,0.0204878
75,7,0.167597,0.0857586,0.300988,0.0206778
76,7,0.167599,0.0856963,0.3008,0.020868
77,7,0.167601,0.0856343,0.300612,0.0210585
78,7,0.167603,0.0855725,0.300424,0.0212492
79,7,0.167604,0.0855111,0.300236,0.0214401
80,7,0.167606,0.0854498,0.300048,0.0216314
81,7,0.167608,0.0853888,0.299859,0.0218229
82,11,0.162131,0.0770212,0.299671,0.0220147
83,8,0.157132,0.0856218,0.299482,0.0222067
84,8,0.157159,0.0855424,0.299293,0.022399
85,8,0.173173,0.048023,0.216442,0.105579
86,8,0.172531,0.080646,0.298916,0.0227841
87,8,0.186156,0.104354,0.351852,0.0229769
88,8,0.166608,0.0930065,0.351799,0.0231699
89,7,0.20139,0.0755777,0.351745,0.104922
90,10,0.184721,0.0924678,0.351692,0.0235564
91,8,0.185991,0.104061,0.35164,0.02375
92,11,0.175435,0.0934586,0.351587,0.0239438
93,7,0.141417,0.0663982,0.21242,0.0241378
94,6,0.184951,0.10163,0.351484,0.0243319
95,8,0.166905,0.0927407,0.351433,0.0245263
96,8,0.166948,0.0927041,0.351382,0.0247208
97,7,0.201118,0.0757164,0.351332,0.103606
98,10,0.184695,0.0919421,0.351283,0.0251105
99,7,0.186697,0.105898,0.351234,0.0253055
100,8,0.167121,0.0925611,0.351185,0.0255007
101,8,0.205488,0.100829,0.362824,0.0781196
102,9,0.209726,0.108218,0.362829,0.0258916
103,9,0.209723,0.108177,0.362833,0.0260872
104,12,0.178217,0.0891943,0.350993,0.0262829
105,8,0.157733,0.0839167,0.295315,0.0264788
106,10,0.157545,0.0774275,0.295125,0.0266749
107,7,0.142796,0.0667579,0.214453,0.0268711
108,4,0.105541,0.0685539,0.214645,0.0270673
109,6,0.13117,0.0650323,0.214837,0.0272636
110,6,0.155132,0.0581956,0.215029,0.0788173
111,7,0.167689,0.0836799,0.294172,0.0276567
112,7,0.167693,0.083627,0.293981,0.0278534
113,7,0.167696,0.0835744,0.29379,0.0280501
114,11,0.162688,0.0750228,0.293599,0.028247
115,8,0.15801,0.0831721,0.293407,0.028444
116,7,0.143687,0.0670075,0.216178,0.0286411
117,6,0.185227,0.100861,0.350426,0.0288382
118,8,0.167918,0.0919851,0.350385,0.0290355
119,7,0.200406,0.0762364,0.350344,0.0999741
120,10,0.184651,0.0906004,0.350304,0.0294305
121,8,0.168053,0.0918996,0.350264,0.0296282
122,7,0.200313,0.0763223,0.350225,0.0994786
123,10,0.184647,0.0904293,0.350186,0.0300238
124,8,0.184677,0.101789,0.350147,0.0302216
125,8,0.184638,0.101725,0.350109,0.0304195
126,8,0.1846,0.10166,0.350071,0.0306175
127,9,0.177931,0.0976044,0.350034,0.0308154
128,8,0.188913,0.11227,0.362875,0.0310134
129,7,0.180857,0.122841,0.362872,0.0312116
130,8,0.189054,0.112216,0.36287,0.0314097
131,13,0.228196,0.109187,0.437609,0.0804571
132,10,0.200673,0.104101,0.362866,0.0318064
133,12,0.171269,0.0876104,0.345315,0.0320048
134,11,0.200061,0.0974369,0.349792,0.0322033
135,10,0.191157,0.0977746,0.349759,0.0324018
136,8,0.192344,0.0755894,0.345893,0.0971562
137,11,0.207597,0.0944773,0.349695,0.0327988
138,9,0.190822,0.0915213,0.346278,0.0329974
139,9,0.181955,0.0942531,0.349633,0.0331961
140,7,0.185417,0.103672,0.349603,0.0333948
141,8,0.168973,0.091418,0.349573,0.0335936
142,8,0.190154,0.076336,0.349544,0.0961575
143,9,0.191089,0.0919724,0.349516,0.0339911
144,9,0.181883,0.0941208,0.349488,0.03419
145,8,0.169162,0.0913406,0.349461,0.0343889
146,6,0.169856,0.101348,0.349435,0.0345879
147,8,0.169257,0.0913046,0.349409,0.0347868
148,8,0.189922,0.0765996,0.349384,0.0951595
149,9,0.190961,0.0917548,0.34936,0.0351848
150,9,0.176876,0.0964307,0.349336,0.035384
151,7,0.165948,0.0970332,0.349312,0.0355831
152,9,0.196591,0.0990257,0.362788,0.0821221
153,10,0.200913,0.104319,0.362782,0.0359815
154,12,0.170826,0.0870964,0.349243,0.0361807
155,10,0.157879,0.0741823,0.285673,0.0363799
156,7,0.147647,0.068316,0.223787,0.0365792
157,6,0.185768,0.0999572,0.349176,0.0367785
158,8,0.169781,0.0911332,0.349154,0.0369779
159,8,0.169829,0.0911198,0.349133,0.0371773
160,6,0.169592,0.101175,0.349112,0.0373768
161,8,0.169925,0.091094,0.349092,0.0375762
162,6,0.169554,0.101156,0.349071,0.0377757
163,8,0.170021,0.0910697,0.349052,0.0379751
164,6,0.169517,0.101138,0.349032,0.0381746
165,8,0.170117,0.0910469,0.349013,0.0383741
166,8,0.186617,0.11509,0.362686,0.0385737
167,11,0.169619,0.0837782,0.348976,0.0387732
168,8,0.174353,0.0777854,0.283131,0.0389728
169,8,0.174368,0.0777596,0.282935,0.0391724
170,9,0.202848,0.0779017,0.348923,0.0914904
171,8,0.162112,0.0761504,0.282544,0.0395716
172,10,0.184676,0.0881091,0.34889,0.0397713
173,9,0.190469,0.0910113,0.348873,0.0399709
174,10,0.183367,0.0888919,0.348857,0.0401705
175,9,0.19043,0.0909581,0.348841,0.0403702
176,9,0.175724,0.0952895,0.348825,0.0405699
177,7,0.164799,0.0953857,0.34881,0.0407696
178,10,0.200654,0.103921,0.36257,0.0409693
179,12,0.170578,0.0860755,0.348781,0.0411691
180,11,0.156583,0.0719361,0.28078,0.0413688
181,6,0.134293,0.0634401,0.228493,0.0415685
182,8,0.161862,0.0772317,0.280387,0.0417683
183,7,0.158842,0.0802986,0.280191,0.0419681
184,7,0.1589,0.0802731,0.279994,0.0421679
185,7,0.158959,0.080248,0.279798,0.0423677
186,7,0.159018,0.0802232,0.279601,0.0425676
187,7,0.159077,0.0801987,0.279405,0.0427674
188,6,0.134577,0.0633694,0.229801,0.0429673
189,8,0.1618,0.077107,0.279011,0.0431671
190,11,0.154279,0.0697179,0.278815,0.043367
191,10,0.157928,0.0720589,0.278618,0.0435669
192,7,0.163511,0.0830988,0.278421,0.0437668
193,10,0.193213,0.0864061,0.348624,0.0439667
194,9,0.174949,0.094614,0.348616,0.0441667
195,11,0.175268,0.0877334,0.348608,0.0443666
196,7,0.147282,0.065996,0.231288,0.0445666
197,10,0.193181,0.0863477,0.348593,0.0447665
198,9,0.174779,0.0944773,0.348587,0.0449665
199,11,0.175272,0.0875721,0.348581,0.0451665
200,7,0.147468,0.0660077,0.23203,0.0453664
201,10,0.193148,0.0862951,0.348571,0.0455664
202,9,0.183555,0.0917634,0.348567,0.0457664
203,8,0.167905,0.088979,0.348564,0.0459664
204,10,0.184777,0.0870784,0.348561,0.0461664
205,8,0.167916,0.0889449,0.348559,0.0463664
206,9,0.19422,0.073776,0.348557,0.0854385
207,8,0.170004,0.0750492,0.275461,0.0467664
208,9,0.174359,0.0941596,0.348553,0.0469664
209,11,0.175282,0.0871922,0.348553,0.0471664
210,7,0.14793,0.0660597,0.23388,0.0473664
211,10,0.193071,0.0861903,0.348552,0.0475664
212,11,0.175287,0.0870837,0.348552,0.0477664
213,9,0.171217,0.0733465,0.274272,0.0479664
214,10,0.193049,0.0861653,0.348552,0.0481664
215,11,0.175292,0.0869776,0.348553,0.0483664
216,7,0.148209,0.0661072,0.234986,0.0485663
217,10,0.193027,0.0861431,0.348554,0.0487663
218,9,0.173947,0.0938703,0.348555,0.0489663
219,11,0.175299,0.0868401,0.348557,0.0491663
220,7,0.148395,0.0661453,0.235721,0.0493662
221,10,0.192999,0.0861183,0.348563,0.0495661
222,9,0.173784,0.0937632,0.348566,0.0497661
223,11,0.175306,0.0867082,0.34857,0.049966
224,7,0.14858,0.0661885,0.236454,0.0501659
225,10,0.192971,0.0860994,0.348578,0.0503658
226,10,0.184879,0.0866051,0.348583,0.0505657
227,8,0.168049,0.088668,0.348589,0.0507656
228,10,0.184889,0.0865716,0.348594,0.0509655
229,9,0.189478,0.090079,0.3486,0.0511654
230,9,0.173462,0.0935628,0.348606,0.0513653
231,11,0.175323,0.0864586,0.348613,0.0515652
232,7,0.14895,0.0662902,0.237917,0.051765
233,10,0.192916,0.0860786,0.348626,0.0519649
234,9,0.173303,0.0934696,0.348633,0.0521647
235,11,0.175332,0.0863407,0.348641,0.0523645
236,9,0.174395,0.0854086,0.348648,0.0525643
237,8,0.169439,0.0745094,0.269506,0.0527641
238,9,0.184397,0.0910841,0.348665,0.0529638
239,8,0.168134,0.0885929,0.348673,0.0531635
240,10,0.184956,0.0864009,0.348683,0.0533632
241,8,0.168148,0.0885855,0.348692,0.0535629
242,10,0.184968,0.0863778,0.348702,0.0537625
243,8,0.168164,0.0885795,0.348712,0.0539621
244,10,0.18498,0.0863561,0.348722,0.0541617
245,8,0.168179,0.0885747,0.348732,0.0543614
246,10,0.184992,0.0863357,0.348742,0.054561
247,8,0.168194,0.0885715,0.348753,0.0547605
248,10,0.185004,0.086317,0.348764,0.05496
249,8,0.16821,0.0885697,0.348776,0.0551595
250,10,0.185016,0.0862998,0.348788,0.055359
251,9,0.172633,0.0931277,0.3488,0.0555585
252,7,0.167442,0.0946588,0.348814,0.055758
253,11,0.188753,0.0830975,0.348827,0.0559575
254,13,0.257509,0.144247,0.534313,0.0561571
255,9,0.177554,0.0914867,0.374694,0.0563566
256,10,0.192935,0.0918584,0.374496,0.056556
257,8,0.178133,0.096925,0.374298,0.0567555
258,11,0.256747,0.152049,0.533514,0.0569549
259,11,0.209227,0.0972622,0.373903,0.0571543
260,9,0.177515,0.0912651,0.373705,0.0573537
261,9,0.197744,0.0821138,0.373508,0.0761579
262,11,0.25664,0.151825,0.532714,0.0577525
263,11,0.209136,0.0971703,0.373112,0.0579518
264,11,0.209113,0.0971481,0.372915,0.0581511
265,11,0.20909,0.0971264,0.372717,0.0583504
266,11,0.209068,0.097105,0.37252,0.0585497
267,10,0.220643,0.0908537,0.372323,0.0751412
268,12,0.246489,0.148498,0.531516,0.0589483
269,10,0.246802,0.161888,0.531316,0.0591475
270,10,0.193113,0.0911995,0.371732,0.0593467
271,8,0.178356,0.0962708,0.371534,0.0595459
272,10,0.193138,0.0911101,0.371337,0.0597451
273,8,0.178387,0.0961814,0.37114,0.0599443
274,8,0.178403,0.096137,0.370943,0.0601434
275,12,0.249029,0.146664,0.530117,0.0603425
276,11,0.208843,0.096908,0.37055,0.0605415
277,11,0.208821,0.0968901,0.370353,0.0607405
278,11,0.208799,0.0968725,0.370156,0.0609394
279,11,0.208777,0.0968552,0.36996,0.0611383
280,11,0.208755,0.0968383,0.369763,0.0613372
281,13,0.256515,0.143191,0.528919,0.061536
282,11,0.208711,0.0968053,0.36937,0.0617348
283,13,0.256442,0.143117,0.52852,0.0619336
284,10,0.22047,0.0907919,0.368977,0.072254
285,12,0.246265,0.147493,0.528121,0.0623309
286,8,0.178593,0.0956253,0.368585,0.0625295
287,10,0.193327,0.0904783,0.368389,0.062728
288,10,0.246599,0.160628,0.527523,0.0629266
289,10,0.193352,0.0903994,0.367996,0.0631251
290,11,0.208536,0.0966863,0.3678,0.0633237
291,11,0.208514,0.0966728,0.367604,0.0635221
292,11,0.208492,0.0966596,0.367408,0.0637205
293,11,0.208471,0.0966468,0.367212,0.0639188
294,11,0.208449,0.0966342,0.367016,0.064117
