iteration,n_agents,c0,m0,s0,mx0,mn0
0,50,2,0.122922,0.0605743,0.183497,0.0623479
1,50,2,0.12277,0.0606207,0.183391,0.0621492
2,50,2,0.122618,0.0606673,0.183285,0.0619505
3,50,2,0.122466,0.0607139,0.18318,0.0617517
4,50,2,0.122314,0.0607606,0.183074,0.061553
5,50,2,0.122161,0.0608073,0.182969,0.0613542
6,50,2,0.122009,0.0608541,0.182864,0.0611554
7,50,2,0.121858,0.0609013,0.182759,0.0609565
8,50,2,0.121706,0.0609486,0.182655,0.0607576
9,50,2,0.121555,0.060996,0.182551,0.0605587
10,50,2,0.121403,0.0610437,0.182447,0.0603597
11,50,2,0.121252,0.0610916,0.182344,0.0601608
12,50,2,0.121101,0.0611395,0.182241,0.0599618
13,50,2,0.120951,0.0611878,0.182138,0.0597629
14,50,2,0.1208,0.0612364,0.182037,0.0595639
15,50,2,0.12065,0.0612851,0.181935,0.059365
16,50,2,0.1205,0.0613338,0.181834,0.059166
17,50,2,0.12035,0.0613827,0.181732,0.0589669
18,50,2,0.1202,0.0614318,0.181631,0.0587678
19,50,2,0.12005,0.0614813,0.181531,0.0585686
20,50,2,0.1199,0.0615309,0.181431,0.0583695
21,50,2,0.119751,0.0615806,0.181332,0.0581704
22,50,2,0.119602,0.0616306,0.181232,0.0579713
23,50,2,0.119453,0.0616809,0.181134,0.0577722
24,50,2,0.119304,0.0617313,0.181036,0.057573
25,50,2,0.119156,0.061782,0.180938,0.0573738
26,50,2,0.119008,0.061833,0.180841,0.0571745
27,50,2,0.11886,0.0618844,0.180744,0.0569752
28,50,2,0.118712,0.0619362,0.180648,0.0567759
29,50,2,0.118565,0.0619884,0.180553,0.0565765
30,50,2,0.118418,0.0620408,0.180459,0.0563772
31,50,2,0.118271,0.0620935,0.180365,0.0561778
32,50,2,0.118125,0.0621462,0.180271,0.0559785
33,50,2,0.117978,0.0621991,0.180177,0.0557792
34,50,2,0.117832,0.0622524,0.180085,0.0555799
35,50,2,0.117687,0.0623062,0.179993,0.0553804
36,50,2,0.117541,0.0623599,0.179901,0.055181
37,50,2,0.117395,0.0624138,0.179809,0.0549815
38,50,2,0.11725,0.0624677,0.179717,0.0547819
39,50,2,0.117104,0.0625217,0.179626,0.0545824
40,50,2,0.116959,0.0625759,0.179535,0.0543828
41,50,2,0.116813,0.0626303,0.179444,0.0541832
42,50,2,0.116668,0.0626849,0.179353,0.0539835
43,50,2,0.116524,0.0627397,0.179263,0.0537838
44,50,2,0.116379,0.0627947,0.179174,0.0535841
45,50,2,0.116234,0.06285,0.179084,0.0533844
46,50,2,0.11609,0.0629052,0.178995,0.0531847
47,50,2,0.115946,0.0629607,0.178906,0.052985
48,50,2,0.115802,0.0630163,0.178818,0.0527853
49,50,2,0.115658,0.0630723,0.17873,0.0525855
50,50,2,0.115514,0.0631287,0.178643,0.0523858
51,50,2,0.115371,0.0631854,0.178557,0.052186
52,50,2,0.115228,0.0632423,0.178471,0.0519862
53,50,2,0.115086,0.0632995,0.178385,0.0517863
54,50,2,0.114944,0.063357,0.178301,0.0515865
55,50,2,0.114802,0.0634148,0.178216,0.0513867
56,50,2,0.11466,0.0634728,0.178132,0.0511868
57,50,2,0.114518,0.063531,0.178049,0.0509869
58,50,2,0.114376,0.0635894,0.177966,0.050787
59,50,2,0.114235,0.0636482,0.177883,0.0505871
60,50,2,0.114094,0.0637072,0.177802,0.0503872
61,50,2,0.113954,0.0637664,0.17772,0.0501872
62,50,2,0.113813,0.0638256,0.177638,0.0499873
63,50,2,0.113672,0.0638849,0.177557,0.0497874
64,50,2,0.113532,0.0639445,0.177476,0.0495874
65,50,2,0.113392,0.0640043,0.177396,0.0493875
66,50,2,0.113252,0.0640644,0.177316,0.0491875
67,50,2,0.113112,0.0641249,0.177237,0.0489876
68,50,2,0.112973,0.0641854,0.177158,0.0487876
69,50,2,0.112834,0.0642464,0.17708,0.0485876
70,50,2,0.112695,0.0643074,0.177002,0.0483876
71,50,2,0.112556,0.0643685,0.176925,0.0481876
72,50,2,0.112418,0.0644301,0.176848,0.0479876
73,50,2,0.112279,0.0644918,0.176771,0.0477876
74,50,2,0.112141,0.0645538,0.176695,0.0475876
75,50,2,0.112004,0.0646163,0.17662,0.0473876
76,50,2,0.111867,0.0646791,0.176546,0.0471876
77,50,2,0.11173,0.0647421,0.176472,0.0469876
78,50,2,0.111593,0.0648056,0.176399,0.0467876
79,50,2,0.111457,0.0648693,0.176326,0.0465876
80,50,2,0.111321,0.0649335,0.176255,0.0463876
81,50,2,0.111186,0.0649981,0.176184,0.0461876
82,50,2,0.11105,0.0650627,0.176113,0.0459876
83,50,2,0.110915,0.0651274,0.176042,0.0457876
84,50,2,0.11078,0.0651926,0.175973,0.0455876
85,50,2,0.110646,0.0652579,0.175903,0.0453876
86,50,2,0.110511,0.0653237,0.175835,0.0451876
