iteration,n_agents,c0,m0,s0,mx0,mn0
0,50,12,0.224988,0.102543,0.391589,0.0165397
1,50,14,0.28049,0.13358,0.482972,0.0167355
2,50,10,0.238217,0.0848855,0.391763,0.10997
3,50,11,0.273607,0.0979648,0.482865,0.136652
4,50,12,0.240091,0.123871,0.482812,0.017324
5,50,11,0.260327,0.108642,0.48276,0.109373
6,50,11,0.260313,0.108576,0.482709,0.109174
7,50,11,0.260298,0.10851,0.482658,0.108975
8,50,12,0.240102,0.123532,0.482608,0.0181099
9,50,11,0.260269,0.108379,0.482557,0.108577
10,50,11,0.260254,0.108314,0.482507,0.108378
11,50,11,0.26024,0.108249,0.482458,0.108179
12,50,11,0.260225,0.108184,0.482408,0.107981
13,50,11,0.260211,0.10812,0.482359,0.107782
14,50,11,0.260196,0.108056,0.482311,0.107583
15,50,11,0.260182,0.107992,0.482262,0.107385
16,50,11,0.260167,0.107928,0.482214,0.107186
17,50,11,0.260153,0.107865,0.482167,0.106988
18,50,12,0.240134,0.122698,0.482119,0.0200815
19,50,11,0.260125,0.107739,0.482073,0.106591
20,50,11,0.260111,0.107677,0.482027,0.106392
21,50,11,0.260097,0.107614,0.481981,0.106194
22,50,11,0.260083,0.107552,0.481936,0.105996
23,50,11,0.260069,0.107491,0.481891,0.105797
24,50,11,0.260055,0.107429,0.481847,0.105599
25,50,12,0.24016,0.122128,0.481802,0.0214672
26,50,12,0.240164,0.122047,0.481758,0.0216655
27,50,11,0.260014,0.107247,0.481715,0.105005
28,50,11,0.26,0.107186,0.481672,0.104807
29,50,11,0.259987,0.107126,0.481629,0.104609
30,50,11,0.259973,0.107066,0.481588,0.104412
31,50,11,0.25996,0.107007,0.481547,0.104214
32,50,12,0.240189,0.121567,0.481506,0.0228566
33,50,11,0.259933,0.106889,0.481465,0.103819
34,50,11,0.25992,0.10683,0.481425,0.103621
35,50,11,0.259907,0.106772,0.481385,0.103424
36,50,11,0.259893,0.106714,0.481345,0.103226
37,50,11,0.25988,0.106656,0.481306,0.103029
38,50,11,0.259867,0.106598,0.481268,0.102832
39,50,11,0.259854,0.106541,0.48123,0.102635
40,50,11,0.259842,0.106485,0.481193,0.102438
41,50,11,0.259829,0.106428,0.481157,0.102241
42,50,12,0.240235,0.120787,0.48112,0.0248458
43,50,11,0.259803,0.106316,0.481084,0.101847
44,50,11,0.259791,0.10626,0.481048,0.101651
45,50,11,0.259778,0.106204,0.481013,0.101454
46,50,11,0.259765,0.106149,0.480978,0.101257
47,50,11,0.259753,0.106094,0.480945,0.101061
48,50,12,0.240266,0.12033,0.480911,0.0260412
49,50,12,0.240271,0.120255,0.480878,0.0262405
50,50,12,0.240276,0.12018,0.480846,0.0264399
51,50,11,0.259703,0.105878,0.480814,0.100275
52,50,11,0.259691,0.105824,0.480782,0.100079
53,50,12,0.240292,0.119957,0.480751,0.0270382
54,50,11,0.259667,0.105718,0.480721,0.0996865
55,50,12,0.240303,0.119809,0.48069,0.0274372
56,50,11,0.259643,0.105614,0.480661,0.0992949
57,50,11,0.259631,0.105562,0.480632,0.0990993
58,50,11,0.259618,0.10551,0.480602,0.0989037
59,50,11,0.259606,0.105458,0.480573,0.0987083
60,50,11,0.259594,0.105407,0.480545,0.0985129
61,50,11,0.259582,0.105356,0.480516,0.0983176
62,50,11,0.259571,0.105306,0.480488,0.0981224
63,50,11,0.259559,0.105255,0.480461,0.0979274
64,50,11,0.259547,0.105205,0.480433,0.0977324
65,50,11,0.259536,0.105155,0.480406,0.0975375
66,50,11,0.259524,0.105105,0.480379,0.0973427
67,50,11,0.259513,0.105056,0.480352,0.0971479
68,50,11,0.259502,0.105007,0.480327,0.0969532
69,50,12,0.268972,0.105295,0.480301,0.0967585
70,50,12,0.268948,0.105238,0.480276,0.096564
71,50,12,0.268924,0.105181,0.48025,0.0963695
72,50,12,0.2689,0.105125,0.480226,0.096175
73,50,12,0.268876,0.105069,0.480202,0.0959805
74,50,13,0.250574,0.119116,0.480179,0.0312321
75,50,12,0.268829,0.104958,0.480156,0.0955918
76,50,12,0.268806,0.104903,0.480134,0.0953975
77,50,12,0.268782,0.104848,0.480112,0.0952032
78,50,12,0.268759,0.104793,0.48009,0.095009
79,50,12,0.268736,0.104739,0.480069,0.0948151
80,50,12,0.268713,0.104685,0.480048,0.0946212
81,50,12,0.26869,0.104632,0.480028,0.0944274
82,50,12,0.268667,0.104578,0.480008,0.0942338
83,50,12,0.268644,0.104525,0.479988,0.0940403
84,50,12,0.268621,0.104472,0.479969,0.093847
85,50,12,0.26358,0.113739,0.479951,0.0334315
86,50,12,0.26359,0.113632,0.479933,0.0336315
87,50,12,0.2636,0.113525,0.479915,0.0338315
88,50,12,0.263611,0.113419,0.479899,0.0340315
89,50,12,0.263621,0.113313,0.479882,0.0342315
90,50,12,0.263631,0.113207,0.479866,0.0344315
91,50,12,0.263642,0.113102,0.479851,0.0346315
92,50,11,0.263634,0.118021,0.479836,0.0348315
93,50,11,0.263646,0.117911,0.47982,0.0350314
94,50,12,0.252149,0.122282,0.479805,0.0352314
95,50,13,0.250457,0.117558,0.479791,0.0354314
96,50,13,0.250452,0.117487,0.479777,0.0356314
97,50,13,0.250447,0.117416,0.479764,0.0358314
98,50,13,0.250443,0.117345,0.479752,0.0360314
99,50,13,0.250438,0.117274,0.479741,0.0362314
100,50,13,0.250434,0.117204,0.479729,0.0364314
101,50,13,0.25043,0.117134,0.479719,0.0366314
102,50,12,0.268225,0.103573,0.479708,0.0903793
103,50,13,0.250422,0.116995,0.479698,0.0370314
104,50,13,0.250418,0.116926,0.479688,0.0372314
105,50,13,0.250414,0.116857,0.479678,0.0374314
106,50,13,0.25041,0.116788,0.479668,0.0376314
107,50,13,0.250407,0.11672,0.479659,0.0378314
108,50,13,0.250403,0.116651,0.479651,0.0380314
109,50,13,0.250399,0.116583,0.479642,0.0382314
110,50,13,0.250396,0.116516,0.479634,0.0384314
111,50,12,0.24927,0.121135,0.479627,0.0386314
112,50,13,0.250389,0.116381,0.47962,0.0388313
113,50,13,0.250386,0.116314,0.479613,0.0390313
114,50,13,0.250382,0.116247,0.479607,0.0392313
115,50,13,0.250379,0.11618,0.4796,0.0394312
116,50,13,0.250376,0.116114,0.479594,0.0396312
117,50,13,0.250373,0.116048,0.479588,0.0398312
118,50,13,0.25037,0.115982,0.479582,0.0400312
119,50,13,0.250366,0.115916,0.479576,0.0402312
120,50,13,0.250363,0.11585,0.479571,0.0404311
121,50,12,0.249229,0.120444,0.479567,0.0406311
122,50,13,0.250358,0.11572,0.479563,0.040831
123,50,13,0.250355,0.115655,0.479559,0.041031
124,50,13,0.250352,0.115591,0.479556,0.0412309
125,50,12,0.26776,0.102559,0.479553,0.0860041
126,50,12,0.26774,0.102518,0.479551,0.0858159
127,50,13,0.250345,0.115399,0.479549,0.0418307
128,50,13,0.250342,0.115336,0.479547,0.0420307
129,50,12,0.267683,0.102397,0.479545,0.0852517
130,50,13,0.250338,0.115209,0.479543,0.0424305
131,50,13,0.250336,0.115146,0.479542,0.0426305
132,50,13,0.250333,0.115084,0.479541,0.0428304
133,50,13,0.250331,0.115022,0.47954,0.0430304
134,50,13,0.250329,0.11496,0.47954,0.0432303
135,50,13,0.250328,0.114898,0.47954,0.0434303
136,50,13,0.250326,0.114836,0.47954,0.0436302
137,50,13,0.250324,0.114775,0.47954,0.0438301
138,50,13,0.250322,0.114714,0.479541,0.04403
139,50,12,0.267495,0.102012,0.479541,0.0833808
140,50,13,0.250319,0.114592,0.479542,0.0444298
141,50,13,0.250317,0.114532,0.479544,0.0446296
142,50,13,0.250316,0.114472,0.479546,0.0448295
143,50,12,0.249152,0.11901,0.479547,0.0450293
144,50,12,0.267404,0.101829,0.479549,0.0824523
145,50,13,0.250312,0.114293,0.479551,0.0454289
146,50,13,0.250311,0.114234,0.479554,0.0456287
147,50,13,0.25031,0.114175,0.479556,0.0458285
148,50,13,0.250309,0.114116,0.479559,0.0460282
149,50,13,0.250308,0.114058,0.479563,0.0462279
150,50,13,0.250308,0.114,0.479566,0.0464276
151,50,13,0.250307,0.113942,0.47957,0.0466273
152,50,13,0.250306,0.113884,0.479575,0.0468269
153,50,13,0.250306,0.113827,0.47958,0.0470266
154,50,13,0.250306,0.11377,0.479586,0.0472262
155,50,13,0.250306,0.113713,0.479591,0.0474258
156,50,13,0.250306,0.113657,0.479597,0.0476253
157,50,13,0.250306,0.1136,0.479603,0.0478249
158,50,13,0.250306,0.113544,0.479609,0.0480244
159,50,13,0.250306,0.113489,0.479616,0.0482238
160,50,13,0.250306,0.113433,0.479623,0.0484232
161,50,13,0.250306,0.113378,0.47963,0.0486226
162,50,13,0.250307,0.113322,0.479638,0.048822
163,50,13,0.250307,0.113268,0.479645,0.0490213
164,50,13,0.250308,0.113213,0.479654,0.0492206
165,50,13,0.250308,0.113159,0.479662,0.0494199
