iteration,n_agents,c0,m0,s0,mx0,mn0
0,50,3,0.103264,0.0319088,0.127799,0.0581977
1,50,7,0.18303,0.0775408,0.305173,0.0582539
2,50,7,0.187248,0.0811148,0.305245,0.0583108
3,50,7,0.191708,0.0828741,0.305318,0.058369
4,50,9,0.224797,0.095855,0.349369,0.058428
5,50,8,0.225272,0.10163,0.34917,0.058488
6,50,7,0.223377,0.108479,0.348971,0.0585486
7,50,7,0.223368,0.108443,0.348771,0.05861
8,50,7,0.22336,0.108406,0.348572,0.0586723
9,50,7,0.223351,0.10837,0.348373,0.0587355
10,50,7,0.223343,0.108333,0.348173,0.0587995
11,50,7,0.223336,0.108295,0.347974,0.0588647
12,50,7,0.223329,0.108258,0.347775,0.0589309
13,50,7,0.223323,0.108221,0.347576,0.0589984
14,50,7,0.223316,0.108183,0.347377,0.0590664
15,50,7,0.223311,0.108146,0.347178,0.0591355
16,50,7,0.223305,0.108108,0.346978,0.0592058
17,50,7,0.2233,0.10807,0.346779,0.0592772
18,50,7,0.223296,0.108032,0.346581,0.0593494
19,50,7,0.223291,0.107994,0.346382,0.0594225
20,50,7,0.223288,0.107955,0.346183,0.0594963
21,50,7,0.223284,0.107917,0.345984,0.0595713
22,50,7,0.223281,0.107878,0.345785,0.0596475
23,50,7,0.223278,0.107839,0.345587,0.0597248
24,50,6,0.239616,0.108115,0.345388,0.0598033
25,50,5,0.218485,0.1065,0.334842,0.0598828
26,50,8,0.222457,0.100788,0.344991,0.059963
27,50,6,0.189525,0.095594,0.344792,0.0600442
28,50,6,0.239564,0.107981,0.344594,0.0601264
29,50,5,0.218584,0.106513,0.335423,0.060209
30,50,8,0.222356,0.100646,0.344197,0.0602926
31,50,6,0.189241,0.0951309,0.343999,0.0603772
32,50,6,0.189171,0.0950144,0.3438,0.0604627
33,50,6,0.189101,0.0948976,0.343602,0.0605492
34,50,8,0.222262,0.100503,0.343404,0.0606363
35,50,6,0.188963,0.0946635,0.343205,0.0607238
36,50,6,0.188894,0.094546,0.343007,0.0608118
37,50,6,0.188825,0.0944283,0.342809,0.0609004
38,50,6,0.188757,0.0943102,0.342611,0.0609899
39,50,6,0.18869,0.094192,0.342413,0.0610799
40,50,6,0.188622,0.0940736,0.342216,0.0611705
41,50,6,0.188555,0.0939549,0.342018,0.061262
42,50,6,0.188489,0.0938358,0.34182,0.0613544
43,50,6,0.188423,0.0937165,0.341622,0.0614472
44,50,6,0.188357,0.0935969,0.341425,0.0615406
45,50,6,0.188291,0.0934772,0.341227,0.0616345
46,50,6,0.188226,0.0933573,0.34103,0.061729
47,50,6,0.188161,0.0932372,0.340832,0.0618241
48,50,6,0.188096,0.0931168,0.340635,0.0619199
49,50,6,0.188032,0.0929962,0.340438,0.0620167
50,50,6,0.187968,0.0928753,0.34024,0.0621142
51,50,8,0.197339,0.0826829,0.340043,0.0622126
52,50,7,0.20411,0.0956876,0.339846,0.0623118
53,50,7,0.234315,0.0999479,0.339649,0.0624119
54,50,7,0.210311,0.0967013,0.339166,0.0625127
55,50,8,0.219985,0.0850867,0.339319,0.0626144
56,50,8,0.220002,0.0850991,0.339472,0.0627171
57,50,7,0.215964,0.0902621,0.339627,0.0628208
58,50,7,0.222367,0.0907626,0.339781,0.0629252
59,50,7,0.222394,0.0907744,0.339935,0.0630304
60,50,7,0.22242,0.0907863,0.34009,0.0631366
61,50,7,0.222447,0.0907984,0.340245,0.0632433
62,50,7,0.222474,0.0908107,0.3404,0.0633506
63,50,7,0.222502,0.0908229,0.340555,0.0634588
64,50,7,0.22253,0.0908349,0.34071,0.0635679
65,50,9,0.224854,0.0941246,0.340866,0.0636774
66,50,6,0.186207,0.0903359,0.33709,0.0637873
67,50,6,0.186213,0.0902569,0.336893,0.0638977
68,50,10,0.222734,0.0894494,0.341334,0.0640092
69,50,7,0.203852,0.0943987,0.336501,0.0641215
70,50,6,0.239379,0.106522,0.341648,0.0642344
71,50,6,0.204873,0.103044,0.341805,0.064348
72,50,8,0.221642,0.0991404,0.341962,0.0644622
73,50,6,0.186587,0.0900244,0.335716,0.0645773
74,50,6,0.18653,0.0898977,0.33552,0.0646928
75,50,6,0.186474,0.0897709,0.335324,0.0648091
76,50,6,0.186418,0.0896439,0.335128,0.0649263
77,50,6,0.186363,0.0895168,0.334932,0.0650439
78,50,6,0.186308,0.0893894,0.334736,0.0651622
79,50,6,0.186253,0.0892618,0.33454,0.0652813
80,50,6,0.186198,0.0891341,0.334344,0.0654008
81,50,6,0.186144,0.0890061,0.334149,0.0655211
82,50,6,0.18609,0.0888779,0.333953,0.0656416
83,50,6,0.186037,0.0887495,0.333758,0.0657628
84,50,6,0.185984,0.0886209,0.333563,0.0658844
