iteration,n_agents,c0,m0,s0,mx0,mn0
0,50,1,0.15357,-nan(ind),0.15357,0.15357
1,50,4,0.271316,0.0970633,0.422074,0.153485
2,50,3,0.221014,0.0496112,0.271045,0.153401
3,50,3,0.220965,0.0496193,0.27094,0.153316
4,50,3,0.220915,0.0496275,0.270835,0.153231
5,50,3,0.220866,0.0496357,0.27073,0.153147
6,50,3,0.220817,0.0496442,0.270625,0.153062
7,50,3,0.220768,0.0496528,0.270521,0.152978
8,50,3,0.220718,0.0496617,0.270417,0.152893
9,50,3,0.220669,0.0496708,0.270314,0.152808
10,50,5,0.274933,0.0920195,0.436431,0.152723
11,50,3,0.222724,0.0518815,0.276567,0.152637
12,50,4,0.273061,0.0980495,0.423922,0.152551
13,50,3,0.222824,0.052102,0.276957,0.152466
14,50,3,0.222873,0.0522123,0.277152,0.15238
15,50,3,0.222923,0.0523224,0.277347,0.152295
16,50,3,0.222973,0.0524324,0.277541,0.15221
17,50,3,0.223023,0.0525424,0.277736,0.152124
18,50,3,0.223072,0.0526525,0.27793,0.152038
19,50,3,0.223121,0.0527629,0.278125,0.151952
20,50,3,0.22317,0.0528734,0.27832,0.151866
21,50,3,0.223219,0.0529842,0.278514,0.151779
22,50,4,0.273846,0.0989381,0.42558,0.151691
23,50,3,0.223317,0.0532058,0.278903,0.151604
24,50,3,0.223365,0.0533167,0.279098,0.151517
25,50,3,0.223414,0.0534276,0.279292,0.15143
26,50,3,0.223462,0.0535385,0.279486,0.151342
27,50,3,0.223511,0.0536494,0.27968,0.151254
28,50,3,0.223559,0.0537601,0.279874,0.151167
29,50,4,0.274388,0.0995615,0.426729,0.15108
30,50,3,0.223655,0.0539816,0.280262,0.150992
31,50,3,0.223703,0.0540926,0.280456,0.150904
32,50,3,0.223751,0.0542036,0.28065,0.150817
33,50,3,0.223799,0.0543145,0.280843,0.150729
34,50,4,0.274771,0.100007,0.427545,0.150641
35,50,4,0.274848,0.100097,0.427707,0.150553
36,50,4,0.274924,0.100185,0.42787,0.150465
37,50,3,0.223991,0.0547577,0.281617,0.150378
38,50,3,0.224039,0.0548683,0.28181,0.15029
39,50,3,0.224086,0.054979,0.282003,0.150203
40,50,3,0.224134,0.0550894,0.282196,0.150116
41,50,3,0.224181,0.0552,0.282389,0.150028
42,50,3,0.224228,0.0553107,0.282582,0.14994
43,50,3,0.224275,0.0554214,0.282774,0.149851
44,50,3,0.224321,0.0555321,0.282967,0.149763
45,50,3,0.224367,0.0556428,0.283159,0.149675
46,50,3,0.224414,0.0557534,0.283352,0.149586
47,50,3,0.22446,0.0558639,0.283544,0.149498
48,50,3,0.224506,0.0559745,0.283737,0.14941
49,50,3,0.224552,0.056085,0.283929,0.149321
50,50,3,0.224598,0.0561957,0.284121,0.149233
51,50,3,0.224644,0.0563065,0.284313,0.149144
52,50,3,0.224689,0.0564171,0.284505,0.149055
53,50,3,0.224735,0.0565276,0.284697,0.148966
54,50,3,0.22478,0.0566382,0.284888,0.148877
55,50,3,0.224825,0.056749,0.28508,0.148788
56,50,3,0.22487,0.0568596,0.285271,0.148699
57,50,3,0.224914,0.0569702,0.285463,0.148609
58,50,3,0.224959,0.0570809,0.285654,0.14852
