iteration,c0,m0,s0,mx0,mn0,c1,m1,s1,mx1,mn1,c2,m2,s2,mx2,mn2,c3,m3,s3,mx3,mn3
33,6,0.19719,0.0950036,0.337266,0.0308477,2,0.147694,0.0283216,0.176016,0.119372,2,0.126903,0.00537851,0.132282,0.121525,3,0.141664,0.0184412,0.160044,0.116451
34,6,0.197261,0.0949901,0.337337,0.0309644,2,0.147837,0.0283767,0.176214,0.11946,2,0.126891,0.00536279,0.132254,0.121528,3,0.141739,0.0184508,0.160133,0.116514
35,6,0.197333,0.0949764,0.337408,0.0310821,2,0.14798,0.0284317,0.176412,0.119548,2,0.126879,0.00534681,0.132226,0.121532,3,0.141814,0.0184603,0.160222,0.116578
36,6,0.197405,0.0949627,0.33748,0.0312013,2,0.148123,0.0284869,0.17661,0.119636,2,0.126867,0.00533033,0.132197,0.121537,3,0.14189,0.0184697,0.160312,0.116642
37,6,0.197478,0.0949491,0.337552,0.0313214,2,0.148265,0.0285423,0.176808,0.119723,2,0.126856,0.00531344,0.132169,0.121542,3,0.141966,0.0184787,0.160402,0.116708
38,6,0.19755,0.0949354,0.337625,0.0314425,2,0.148408,0.0285975,0.177005,0.119811,2,0.126844,0.00529609,0.132141,0.121548,3,0.142042,0.0184873,0.160491,0.116774
39,6,0.197624,0.0949214,0.337698,0.0315649,2,0.148551,0.0286526,0.177203,0.119898,2,0.126833,0.00527861,0.132112,0.121555,3,0.142118,0.0184958,0.16058,0.11684
40,6,0.197697,0.0949074,0.337771,0.0316882,2,0.148694,0.0287074,0.177401,0.119986,2,0.126823,0.00526064,0.132084,0.121562,3,0.142196,0.0185041,0.160669,0.116907
41,6,0.19777,0.0948932,0.337845,0.0318127,2,0.148837,0.0287622,0.177599,0.120075,2,0.126813,0.00524247,0.132056,0.121571,3,0.142273,0.018512,0.160758,0.116975
42,6,0.197844,0.094879,0.337919,0.0319379,2,0.14898,0.028817,0.177797,0.120163,2,0.126803,0.00522404,0.132027,0.121579,3,0.142351,0.0185195,0.160847,0.117044
43,6,0.197918,0.0948648,0.337993,0.0320641,2,0.149122,0.0288717,0.177994,0.120251,2,0.126794,0.00520548,0.131999,0.121588,3,0.142429,0.0185265,0.160935,0.117114
44,6,0.197992,0.0948505,0.338067,0.0321909,2,0.149265,0.0289266,0.178192,0.120339,2,0.126785,0.00518683,0.131971,0.121598,3,0.142508,0.0185332,0.161024,0.117185
45,6,0.198067,0.0948362,0.338142,0.0323185,2,0.149408,0.0289815,0.178389,0.120426,2,0.126776,0.00516804,0.131944,0.121608,3,0.142588,0.0185396,0.161113,0.117257
46,6,0.198142,0.0948218,0.338216,0.0324466,2,0.14955,0.0290363,0.178587,0.120514,2,0.126767,0.00514882,0.131916,0.121619,3,0.142668,0.0185458,0.161202,0.117329
47,6,0.198216,0.0948073,0.338292,0.0325756,2,0.149693,0.029091,0.178784,0.120602,2,0.126759,0.00512929,0.131888,0.12163,3,0.142748,0.0185517,0.161291,0.117403
48,6,0.198292,0.094793,0.338368,0.0327056,2,0.149835,0.0291459,0.178981,0.120689,2,0.126751,0.00510936,0.13186,0.121642,3,0.142829,0.0185571,0.16138,0.117477
49,6,0.198367,0.0947785,0.338444,0.0328366,2,0.149977,0.0292008,0.179178,0.120777,2,0.126744,0.00508891,0.131833,0.121655,3,0.142909,0.0185623,0.161468,0.117552
50,6,0.198443,0.0947639,0.33852,0.0329687,2,0.15012,0.0292559,0.179375,0.120864,2,0.126737,0.00506792,0.131805,0.121669,3,0.14299,0.0185673,0.161557,0.117627
51,6,0.198519,0.0947492,0.338597,0.0331015,2,0.150261,0.029311,0.179572,0.12095,2,0.12673,0.00504658,0.131777,0.121684,3,0.143072,0.0185721,0.161646,0.117702
52,6,0.198595,0.0947346,0.338674,0.0332349,2,0.150403,0.0293661,0.17977,0.121037,2,0.126724,0.00502515,0.131749,0.121699,3,0.143153,0.0185767,0.161734,0.117779
53,5,0.191766,0.102372,0.338751,0.0333691,2,0.150545,0.0294211,0.179967,0.121124,2,0.126718,0.00500347,0.131722,0.121715,3,0.143235,0.0185811,0.161823,0.117856
54,5,0.191866,0.102365,0.338828,0.0335043,2,0.150688,0.0294759,0.180164,0.121212,2,0.126713,0.00498125,0.131694,0.121732,3,0.143318,0.0185852,0.161912,0.117933
55,5,0.191967,0.102358,0.338906,0.0336405,2,0.15083,0.0295305,0.18036,0.121299,2,0.126708,0.0049591,0.131667,0.121748,3,0.143401,0.0185892,0.162,0.118011
56,5,0.192068,0.102351,0.338984,0.0337775,2,0.150972,0.0295853,0.180557,0.121387,2,0.126703,0.00493712,0.13164,0.121766,3,0.143484,0.0185928,0.162089,0.11809
57,5,0.192169,0.102344,0.339063,0.0339156,2,0.151114,0.0296403,0.180754,0.121474,2,0.126698,0.00491503,0.131614,0.121783,3,0.143568,0.018596,0.162177,0.11817
58,5,0.19227,0.102337,0.339142,0.0340545,2,0.151256,0.0296955,0.180951,0.12156,2,0.126694,0.00489253,0.131587,0.121802,3,0.143652,0.0185988,0.162265,0.11825
59,5,0.192372,0.10233,0.339222,0.0341941,2,0.151398,0.0297505,0.181148,0.121647,2,0.126691,0.00486938,0.13156,0.121821,3,0.143736,0.0186014,0.162352,0.118331
60,5,0.192474,0.102322,0.339302,0.0343348,2,0.15154,0.0298054,0.181345,0.121734,2,0.126687,0.00484585,0.131533,0.121841,3,0.14382,0.0186038,0.16244,0.118412
61,5,0.192576,0.102315,0.339383,0.0344764,2,0.151682,0.0298604,0.181542,0.121821,2,0.126684,0.00482222,0.131506,0.121862,3,0.143904,0.0186058,0.162527,0.118494
62,5,0.192678,0.102307,0.339464,0.0346186,2,0.151823,0.0299154,0.181739,0.121908,2,0.126681,0.00479836,0.13148,0.121883,3,0.143989,0.0186077,0.162613,0.118577
63,5,0.192781,0.1023,0.339546,0.034762,2,0.151965,0.0299705,0.181936,0.121995,2,0.126679,0.0047739,0.131453,0.121905,3,0.144074,0.0186095,0.1627,0.118659
64,5,0.192883,0.102292,0.339628,0.0349059,2,0.152107,0.0300256,0.182132,0.122081,2,0.126677,0.00474914,0.131426,0.121927,3,0.144159,0.0186111,0.162787,0.118742
65,5,0.192987,0.102285,0.339711,0.0350507,2,0.152249,0.0300807,0.182329,0.122168,2,0.126675,0.00472378,0.131398,0.121951,3,0.144244,0.0186125,0.162874,0.118825
66,5,0.19309,0.102277,0.339795,0.0351963,2,0.15239,0.030136,0.182526,0.122254,2,0.126673,0.00469803,0.131371,0.121975,3,0.14433,0.0186136,0.162961,0.11891
67,5,0.193194,0.10227,0.339878,0.0353427,2,0.152531,0.0301914,0.182723,0.12234,2,0.126671,0.00467213,0.131343,0.121999,3,0.144416,0.0186144,0.163047,0.118994
68,5,0.193298,0.102262,0.339963,0.0354895,2,0.152672,0.0302468,0.182919,0.122425,2,0.12667,0.00464604,0.131316,0.122024,3,0.144502,0.0186149,0.163133,0.11908
69,5,0.193402,0.102255,0.340047,0.035637,2,0.152813,0.0303023,0.183116,0.122511,2,0.126669,0.00461966,0.131289,0.12205,3,0.144589,0.0186153,0.163219,0.119165
70,5,0.193506,0.102247,0.340132,0.035785,2,0.152954,0.0303579,0.183312,0.122596,2,0.126669,0.004593,0.131262,0.122076,3,0.144675,0.0186154,0.163305,0.119251
71,5,0.19361,0.10224,0.340217,0.0359336,2,0.153095,0.0304135,0.183508,0.122681,2,0.126668,0.0045659,0.131234,0.122102,3,0.144762,0.0186155,0.163391,0.119338
72,5,0.193715,0.102232,0.340302,0.0360832,2,0.153236,0.030469,0.183705,0.122767,2,0.126668,0.00453888,0.131207,0.122129,3,0.14485,0.0186154,0.163477,0.119425
73,5,0.193819,0.102224,0.340387,0.0362338,2,0.153376,0.0305246,0.183901,0.122852,2,0.126669,0.00451173,0.13118,0.122157,3,0.144937,0.0186153,0.163563,0.119512
