iteration,c0,m0,s0,mx0,mn0,c1,m1,s1,mx1,mn1,c2,m2,s2,mx2,mn2,c3,m3,s3,mx3,mn3
32,5,0.205923,0.0969551,0.36849,0.0869987,5,0.164699,0.0625491,0.255756,0.089417,3,0.161991,0.0678294,0.255097,0.0954436,7,0.197547,0.0618192,0.303604,0.135752
33,5,0.205775,0.0969265,0.368294,0.0868366,4,0.141963,0.0480629,0.217933,0.0892459,3,0.161924,0.067856,0.255037,0.095264,7,0.197565,0.0618035,0.303484,0.135685
34,5,0.205627,0.0968978,0.368097,0.0866747,4,0.141991,0.048174,0.21807,0.0890745,3,0.161856,0.0678826,0.254977,0.0950845,7,0.197582,0.0617882,0.303363,0.135618
35,5,0.205478,0.0968689,0.367901,0.0865132,8,0.20116,0.102393,0.375169,0.0882094,3,0.161789,0.0679091,0.254916,0.0949054,7,0.197599,0.0617733,0.303243,0.13555
36,5,0.20533,0.0968398,0.367705,0.086352,5,0.185579,0.0887552,0.321511,0.0887312,3,0.161721,0.0679355,0.254856,0.0947266,7,0.197616,0.0617588,0.303123,0.135483
37,5,0.205182,0.0968105,0.367508,0.0861915,6,0.169433,0.0887964,0.321543,0.0884968,3,0.161653,0.0679622,0.254795,0.0945479,7,0.197633,0.0617447,0.303004,0.135415
38,5,0.205033,0.0967809,0.367312,0.0860312,5,0.152005,0.0873835,0.321575,0.0883871,3,0.161585,0.0679888,0.254735,0.0943694,7,0.19765,0.0617311,0.302885,0.135348
39,5,0.204886,0.0967512,0.367115,0.0858715,4,0.167849,0.0910962,0.321607,0.0882149,3,0.161517,0.0680154,0.254674,0.0941911,7,0.197667,0.0617177,0.302767,0.13528
40,5,0.204738,0.0967214,0.366918,0.0857118,4,0.142167,0.0488469,0.218899,0.0880426,3,0.161449,0.0680421,0.254614,0.0940129,7,0.197684,0.0617045,0.302648,0.135213
41,5,0.20459,0.0966914,0.366722,0.0855523,4,0.142197,0.04896,0.219038,0.0878701,3,0.161381,0.0680689,0.254553,0.0938348,7,0.197702,0.0616916,0.30253,0.135145
42,5,0.204442,0.0966613,0.366525,0.085393,7,0.217712,0.0992218,0.374147,0.0892242,3,0.161313,0.0680956,0.254492,0.0936569,7,0.197719,0.0616791,0.302412,0.135078
43,5,0.204295,0.096631,0.366328,0.085234,6,0.178497,0.104668,0.374,0.0875252,3,0.161245,0.0681219,0.25443,0.0934795,7,0.197736,0.061667,0.302294,0.135011
44,5,0.204148,0.0966006,0.366131,0.0850754,5,0.196761,0.105574,0.373853,0.0895173,3,0.161177,0.0681481,0.254368,0.0933024,7,0.197753,0.0616553,0.302176,0.134943
45,5,0.204,0.09657,0.365934,0.0849173,5,0.196334,0.106013,0.373706,0.0871797,3,0.161109,0.0681744,0.254306,0.0931257,7,0.19777,0.0616439,0.302059,0.134876
46,5,0.203853,0.0965393,0.365737,0.0847594,5,0.19634,0.10601,0.373558,0.0870066,3,0.161041,0.0682004,0.254244,0.0929492,7,0.197787,0.0616329,0.301941,0.134808
47,5,0.203706,0.0965083,0.36554,0.0846021,6,0.178615,0.104578,0.37341,0.0868336,3,0.160973,0.0682263,0.254181,0.0927732,7,0.197805,0.0616224,0.301825,0.134741
48,5,0.203559,0.0964772,0.365343,0.0844449,6,0.178645,0.104556,0.373262,0.0866605,3,0.160905,0.068252,0.254118,0.0925976,7,0.197822,0.0616122,0.301708,0.134674
49,5,0.203412,0.0964459,0.365146,0.0842883,8,0.236772,0.142506,0.500208,0.0864875,3,0.160837,0.0682773,0.254055,0.0924224,7,0.197839,0.0616025,0.301592,0.134607
50,5,0.203266,0.0964143,0.364948,0.0841322,5,0.174105,0.101608,0.372967,0.0904046,3,0.160769,0.0683027,0.253991,0.0922476,7,0.197857,0.061593,0.301477,0.13454
51,5,0.20312,0.0963824,0.364751,0.0839764,5,0.162593,0.107417,0.372819,0.0861408,3,0.160701,0.0683279,0.253927,0.0920729,7,0.197875,0.0615839,0.301361,0.134472
52,5,0.202973,0.0963504,0.364554,0.0838213,5,0.16259,0.107362,0.37267,0.0859674,3,0.160632,0.0683533,0.253864,0.0918987,7,0.197892,0.0615753,0.301247,0.134405
53,5,0.202827,0.0963182,0.364356,0.0836666,5,0.162588,0.107307,0.372521,0.0857937,3,0.160564,0.0683786,0.2538,0.0917245,7,0.19791,0.061567,0.301133,0.134338
54,5,0.202681,0.0962858,0.364159,0.0835126,5,0.174239,0.101253,0.372372,0.0910004,3,0.160496,0.068404,0.253736,0.0915504,7,0.197928,0.061559,0.301019,0.134271
55,5,0.202535,0.0962533,0.363961,0.0833588,6,0.188597,0.0977466,0.372223,0.09115,3,0.160428,0.0684295,0.253672,0.0913766,7,0.197946,0.0615514,0.300905,0.134204
56,5,0.20239,0.0962204,0.363764,0.0832057,5,0.162581,0.107141,0.372074,0.0852729,3,0.16036,0.0684547,0.253608,0.0912032,7,0.197964,0.0615441,0.300792,0.134137
57,5,0.202244,0.0961874,0.363566,0.0830528,5,0.16258,0.107086,0.371924,0.0850992,3,0.160292,0.0684798,0.253543,0.0910298,7,0.197982,0.0615372,0.300679,0.13407
58,5,0.202099,0.096154,0.363368,0.0829007,5,0.174378,0.100897,0.371775,0.0916021,3,0.160223,0.0685046,0.253477,0.0908568,7,0.198001,0.0615307,0.300567,0.134003
59,5,0.201954,0.0961205,0.363171,0.0827492,5,0.174413,0.100807,0.371625,0.091754,3,0.160155,0.0685294,0.253412,0.090684,7,0.198019,0.0615245,0.300454,0.133937
60,5,0.201809,0.0960869,0.362973,0.0825982,6,0.17901,0.104295,0.371476,0.0845787,3,0.160086,0.0685543,0.253346,0.0905114,7,0.198038,0.0615187,0.300342,0.133869
61,5,0.201664,0.0960531,0.362775,0.0824476,6,0.179042,0.104273,0.371327,0.084405,3,0.160017,0.0685791,0.25328,0.0903389,7,0.198056,0.0615133,0.30023,0.133802
62,5,0.201519,0.096019,0.362577,0.0822976,5,0.162574,0.106812,0.371177,0.084231,3,0.159949,0.0686039,0.253214,0.0901666,7,0.198074,0.0615083,0.300118,0.133735
63,5,0.201374,0.0959847,0.362379,0.0821482,6,0.179105,0.104231,0.371026,0.0840568,3,0.15988,0.0686284,0.253148,0.0899947,7,0.198093,0.0615035,0.300007,0.133668
64,5,0.20123,0.0959502,0.362181,0.0819995,5,0.162573,0.106703,0.370876,0.0838824,3,0.159812,0.0686528,0.253081,0.0898231,7,0.198111,0.0614992,0.299896,0.1336
65,5,0.201086,0.0959155,0.361983,0.0818511,5,0.162572,0.106648,0.370726,0.0837081,3,0.159743,0.0686771,0.253014,0.0896515,7,0.198129,0.0614953,0.299785,0.133533
66,5,0.200941,0.0958806,0.361785,0.0817029,5,0.162571,0.106594,0.370575,0.0835336,3,0.159675,0.0687014,0.252947,0.0894804,7,0.198148,0.0614916,0.299675,0.133465
67,5,0.200797,0.0958455,0.361588,0.0815552,5,0.162571,0.106539,0.370425,0.0833591,3,0.159607,0.0687258,0.252881,0.0893097,7,0.198166,0.0614882,0.299565,0.133399
68,5,0.200653,0.0958102,0.361389,0.081408,6,0.189409,0.0969926,0.370274,0.0931334,3,0.159538,0.0687502,0.252814,0.0891391,7,0.198185,0.0614852,0.299455,0.133332
