iteration,n_agents,c0,m0,s0,mx0,mn0
0,50,15,0.233112,0.0885144,0.388828,0.0970199
1,50,9,0.194411,0.0833571,0.388831,0.0972193
2,50,18,0.313413,0.1558,0.601603,0.0974186
3,50,15,0.306325,0.167012,0.601675,0.0976179
4,50,15,0.30637,0.167015,0.601748,0.0978172
5,50,15,0.306415,0.167018,0.601821,0.0980165
6,50,15,0.306461,0.167021,0.601895,0.0979074
7,50,15,0.306507,0.167025,0.60197,0.0977781
8,50,15,0.306552,0.167028,0.602045,0.0976487
9,50,15,0.306598,0.167032,0.602121,0.097519
10,50,15,0.306644,0.167036,0.602197,0.0973892
11,50,15,0.30669,0.16704,0.602274,0.0972594
12,50,15,0.306736,0.167044,0.602351,0.0971298
13,50,15,0.306782,0.167048,0.602428,0.0970002
14,50,15,0.306828,0.167052,0.602506,0.0968704
15,50,15,0.306875,0.167057,0.602584,0.0967408
16,50,15,0.306921,0.167061,0.602662,0.0966114
17,50,15,0.306968,0.167066,0.60274,0.0964821
18,50,15,0.307014,0.167071,0.602819,0.0963527
19,50,15,0.307061,0.167076,0.602898,0.0962231
20,50,15,0.307108,0.167081,0.602979,0.0960932
21,50,15,0.307155,0.167087,0.603059,0.095963
22,50,15,0.307202,0.167092,0.60314,0.0958325
23,50,15,0.307249,0.167098,0.603221,0.095702
24,50,15,0.307297,0.167104,0.603303,0.0955718
25,50,15,0.307344,0.16711,0.603386,0.0954418
26,50,15,0.307392,0.167116,0.603469,0.0953118
27,50,15,0.30744,0.167123,0.603552,0.095182
28,50,17,0.30308,0.170331,0.603636,0.0806024
29,50,16,0.293363,0.170885,0.60372,0.0807663
30,50,16,0.293418,0.170882,0.603804,0.0809302
31,50,16,0.293474,0.170879,0.603889,0.081094
32,50,16,0.29353,0.170877,0.603975,0.0812576
33,50,16,0.293585,0.170874,0.60406,0.0814211
34,50,16,0.293641,0.170872,0.604146,0.0815849
35,50,16,0.293697,0.17087,0.604231,0.0817487
36,50,16,0.293753,0.170868,0.604318,0.0819126
37,50,16,0.293809,0.170866,0.604404,0.0820763
38,50,16,0.293866,0.170864,0.604491,0.08224
39,50,16,0.293922,0.170862,0.604578,0.0824034
40,50,16,0.293978,0.170861,0.604666,0.0825671
41,50,16,0.294035,0.170859,0.604755,0.0827305
42,50,16,0.294091,0.170858,0.604843,0.0828942
43,50,16,0.294148,0.170857,0.604932,0.0830581
44,50,16,0.294205,0.170856,0.605021,0.0832218
45,50,16,0.294262,0.170855,0.605111,0.0833858
46,50,16,0.29432,0.170854,0.6052,0.0835498
47,50,16,0.294377,0.170853,0.60529,0.0837139
48,50,16,0.294434,0.170853,0.60538,0.0838781
49,50,16,0.294492,0.170852,0.60547,0.0840424
50,50,16,0.294549,0.170852,0.605561,0.0842066
51,50,16,0.294606,0.170852,0.605652,0.0843705
52,50,16,0.294664,0.170851,0.605743,0.0845347
53,50,16,0.294722,0.170851,0.605835,0.0846991
54,50,16,0.294779,0.170851,0.605927,0.0848636
55,50,16,0.294837,0.170852,0.606018,0.085028
56,50,16,0.294895,0.170852,0.606111,0.0851925
57,50,16,0.294954,0.170852,0.606203,0.0853569
58,50,16,0.295012,0.170853,0.606297,0.0855213
59,50,16,0.29507,0.170854,0.606391,0.0856856
60,50,16,0.295129,0.170855,0.606485,0.0858499
61,50,16,0.295188,0.170856,0.606579,0.0860141
62,50,16,0.295246,0.170857,0.606673,0.0861783
