iteration,n_agents,c0,m0,s0,mx0,mn0
0,50,13,0.28526,0.076553,0.380679,0.1425
1,50,25,0.357186,0.122358,0.596661,0.142363
2,50,21,0.365529,0.130996,0.596832,0.142226
3,50,22,0.366878,0.134381,0.597004,0.142089
4,50,28,0.378027,0.138255,0.650367,0.141952
5,50,22,0.393518,0.151221,0.65049,0.141816
6,50,27,0.400591,0.158057,0.745442,0.14168
7,50,26,0.411958,0.15092,0.745297,0.176741
8,50,27,0.394747,0.155459,0.745152,0.141407
9,50,26,0.39783,0.157056,0.745006,0.141271
10,50,26,0.406006,0.156041,0.74486,0.141134
11,50,25,0.407428,0.158969,0.744714,0.140997
12,50,28,0.399745,0.152223,0.744567,0.140861
13,50,27,0.397591,0.154635,0.74442,0.140724
14,50,28,0.399638,0.152257,0.744272,0.140588
15,50,25,0.411787,0.153864,0.744125,0.140451
16,50,25,0.399652,0.158954,0.743977,0.140314
17,50,25,0.399597,0.158967,0.743829,0.140177
18,50,25,0.399542,0.158979,0.743681,0.14004
19,50,25,0.399487,0.158992,0.743533,0.139903
20,50,25,0.399432,0.159005,0.743385,0.139766
21,50,25,0.399377,0.159018,0.743236,0.139628
22,50,25,0.399322,0.159031,0.743088,0.139491
23,50,25,0.399268,0.159044,0.742939,0.139353
24,50,25,0.399213,0.159057,0.74279,0.139215
25,50,25,0.399159,0.15907,0.742641,0.139078
26,50,25,0.399104,0.159083,0.742491,0.138939
27,50,25,0.39905,0.159096,0.742341,0.138802
28,50,25,0.398996,0.159109,0.742191,0.138663
29,50,25,0.398942,0.159123,0.742041,0.138525
30,50,25,0.398888,0.159136,0.741891,0.138387
31,50,25,0.398834,0.15915,0.74174,0.138249
32,50,25,0.39878,0.159163,0.74159,0.13811
33,50,25,0.398726,0.159176,0.741439,0.137972
34,50,25,0.398673,0.15919,0.741288,0.137833
35,50,25,0.398619,0.159204,0.741136,0.137695
36,50,25,0.398566,0.159217,0.740985,0.137556
37,50,25,0.398512,0.159231,0.740834,0.137417
38,50,25,0.398459,0.159245,0.740682,0.137278
39,50,25,0.398406,0.159259,0.74053,0.137139
40,50,25,0.398353,0.159272,0.740378,0.136999
41,50,25,0.3983,0.159286,0.740226,0.13686
42,50,25,0.398247,0.1593,0.740074,0.136721
43,50,25,0.398194,0.159314,0.739922,0.136582
44,50,25,0.398142,0.159328,0.739769,0.136442
45,50,27,0.394928,0.155679,0.739615,0.136303
46,50,25,0.401844,0.159307,0.739462,0.136165
47,50,25,0.401785,0.159322,0.739309,0.136025
48,50,25,0.401726,0.159337,0.739156,0.135886
49,50,25,0.401668,0.159352,0.739002,0.135747
50,50,25,0.401609,0.159367,0.738848,0.135608
51,50,25,0.40155,0.159382,0.738694,0.135468
52,50,25,0.401492,0.159397,0.73854,0.135329
53,50,25,0.401434,0.159413,0.738385,0.13519
54,50,25,0.401375,0.159428,0.738231,0.135051
55,50,25,0.401317,0.159444,0.738076,0.134912
56,50,25,0.401259,0.159459,0.73792,0.134773
57,50,25,0.401201,0.159475,0.737765,0.134633
58,50,25,0.401143,0.15949,0.737609,0.134493
59,50,25,0.401085,0.159506,0.737453,0.134353
60,50,25,0.401027,0.159522,0.737297,0.134213
61,50,25,0.400969,0.159538,0.737141,0.134073
62,50,25,0.400911,0.159554,0.736985,0.133933
63,50,25,0.400853,0.15957,0.736829,0.133793
64,50,25,0.400796,0.159586,0.736673,0.133652
65,50,25,0.400738,0.159602,0.736517,0.133512
66,50,25,0.40068,0.159618,0.73636,0.133371
67,50,25,0.400623,0.159634,0.736204,0.133231
68,50,25,0.400566,0.159651,0.736047,0.13309
69,50,25,0.400508,0.159667,0.73589,0.132949
70,50,25,0.400451,0.159683,0.735733,0.132808
71,50,25,0.400393,0.1597,0.735576,0.132667
72,50,25,0.400336,0.159717,0.735419,0.132526
73,50,25,0.400279,0.159733,0.735261,0.132384
74,50,25,0.400222,0.15975,0.735103,0.132243
75,50,25,0.400165,0.159767,0.734944,0.132101
76,50,25,0.400108,0.159784,0.734786,0.13196
77,50,25,0.400051,0.159801,0.734627,0.131818
78,50,25,0.399994,0.159817,0.734468,0.131676
79,50,25,0.399937,0.159834,0.734309,0.131534
80,50,25,0.39988,0.159851,0.73415,0.131392
81,50,25,0.399824,0.159868,0.73399,0.131249
82,50,25,0.399767,0.159886,0.73383,0.131107
83,50,25,0.399711,0.159903,0.733671,0.130964
84,50,25,0.399654,0.15992,0.73351,0.130821
85,50,25,0.399598,0.159937,0.73335,0.130678
86,50,25,0.399542,0.159955,0.73319,0.130535
87,50,25,0.399486,0.159972,0.73303,0.130392
88,50,25,0.39943,0.159989,0.732869,0.130249
89,50,25,0.399374,0.160007,0.732709,0.130106
90,50,25,0.399318,0.160024,0.732548,0.129962
91,50,25,0.399262,0.160042,0.732387,0.129819
92,50,25,0.399206,0.160059,0.732226,0.129675
93,50,25,0.399151,0.160077,0.732064,0.129532
94,50,25,0.399095,0.160095,0.731903,0.129388
95,50,25,0.39904,0.160112,0.731741,0.129245
96,50,25,0.398984,0.16013,0.73158,0.129102
97,50,25,0.398929,0.160148,0.731418,0.128959
98,50,25,0.398874,0.160165,0.731255,0.128816
99,50,25,0.398818,0.160183,0.731093,0.128673
100,50,25,0.398763,0.160201,0.73093,0.128531
101,50,25,0.398708,0.160219,0.730767,0.128388
102,50,25,0.398653,0.160237,0.730605,0.128246
103,50,25,0.398599,0.160255,0.730442,0.128103
104,50,25,0.398544,0.160273,0.73028,0.127961
105,50,25,0.39849,0.160291,0.730117,0.127818
106,50,25,0.398435,0.160309,0.729955,0.127675
107,50,25,0.398381,0.160327,0.729792,0.127532
108,50,25,0.398326,0.160345,0.72963,0.127389
109,50,25,0.398272,0.160364,0.729467,0.127246
110,50,25,0.398218,0.160382,0.729305,0.127103
