iteration,n_agents,c0,m0,s0,mx0,mn0
0,50,8,0.150641,0.0575605,0.241096,0.0859298
1,50,8,0.150683,0.0575309,0.241034,0.0861248
2,50,8,0.150725,0.0575014,0.240971,0.0863199
3,50,8,0.150767,0.0574721,0.240907,0.0865151
4,50,8,0.15081,0.0574429,0.240844,0.0867102
5,50,8,0.150852,0.0574139,0.240781,0.0869053
6,50,8,0.150896,0.0573852,0.240718,0.0871004
7,50,8,0.150939,0.0573568,0.240656,0.0872956
8,50,8,0.150983,0.0573284,0.240593,0.0874909
9,50,8,0.151027,0.0573003,0.24053,0.0876862
10,50,8,0.151071,0.0572722,0.240467,0.0878818
11,50,8,0.151115,0.0572443,0.240404,0.0880775
12,50,8,0.15116,0.0572166,0.240341,0.0882733
13,50,8,0.151205,0.057189,0.240277,0.0884693
14,50,8,0.15125,0.0571615,0.240214,0.0886654
15,50,8,0.151296,0.0571343,0.240151,0.0888616
16,50,8,0.151342,0.0571073,0.240088,0.0890579
17,50,8,0.151388,0.0570803,0.240025,0.0892543
18,50,8,0.151434,0.0570534,0.239961,0.0894506
19,50,8,0.151481,0.0570267,0.239897,0.089647
20,50,8,0.151528,0.0570001,0.239833,0.0898434
21,50,8,0.151575,0.0569735,0.239767,0.0900397
22,50,8,0.151622,0.0569471,0.239702,0.0902362
23,50,8,0.151669,0.0569206,0.239636,0.0904327
24,50,8,0.151717,0.0568944,0.23957,0.0906292
25,50,8,0.151765,0.0568682,0.239504,0.0908259
26,50,8,0.151813,0.0568421,0.239437,0.0910226
27,50,8,0.151861,0.0568162,0.239371,0.0912195
28,50,8,0.15191,0.0567902,0.239304,0.0914165
29,50,8,0.151959,0.0567645,0.239237,0.0916135
30,50,8,0.152008,0.0567391,0.239171,0.0918105
31,50,8,0.152058,0.0567137,0.239105,0.0920076
32,50,8,0.152108,0.0566884,0.239038,0.0922047
33,50,8,0.152158,0.0566632,0.238971,0.0924019
34,50,8,0.152208,0.0566381,0.238904,0.092599
35,50,8,0.152259,0.056613,0.238837,0.0927962
36,50,8,0.15231,0.056588,0.23877,0.0929934
37,50,8,0.152362,0.056563,0.238703,0.0931908
38,50,8,0.152413,0.0565381,0.238636,0.0933882
39,50,8,0.152465,0.0565135,0.238569,0.0935855
40,50,8,0.152517,0.0564888,0.238501,0.093783
41,50,8,0.152569,0.0564641,0.238433,0.0939805
42,50,8,0.152621,0.0564398,0.238366,0.0941782
43,50,8,0.152674,0.0564155,0.238298,0.0943758
44,50,8,0.152727,0.0563912,0.23823,0.0945736
45,50,8,0.15278,0.0563669,0.238162,0.0947713
46,50,8,0.152834,0.0563426,0.23819,0.0949691
47,50,8,0.152887,0.0563183,0.238356,0.0951671
48,50,8,0.152941,0.0562941,0.238522,0.0953651
49,50,8,0.152996,0.0562701,0.238688,0.0955631
50,50,8,0.15305,0.0562462,0.238854,0.0957612
51,50,8,0.153105,0.0562225,0.239021,0.0959593
52,50,8,0.15316,0.0561989,0.239188,0.0961575
53,50,8,0.153215,0.0561752,0.239355,0.0963557
54,50,8,0.15327,0.0561515,0.239522,0.0965541
55,50,8,0.153326,0.056128,0.239689,0.0967524
56,50,8,0.153382,0.0561046,0.239857,0.0969509
57,50,8,0.153438,0.0560814,0.240025,0.0971494
58,50,8,0.153495,0.0560583,0.240193,0.097348
59,50,8,0.153551,0.0560353,0.240361,0.0975467
60,50,8,0.153608,0.0560124,0.24053,0.0977453
61,50,8,0.153665,0.0559895,0.240699,0.0979441
62,50,8,0.153723,0.0559667,0.240868,0.0981428
63,50,8,0.15378,0.055944,0.241037,0.0983416
64,50,8,0.153838,0.0559213,0.241207,0.0985403
65,50,8,0.153896,0.0558985,0.241377,0.0987391
66,50,8,0.153955,0.055876,0.241547,0.0988573
67,50,8,0.154013,0.0558535,0.241718,0.0988633
68,50,8,0.154072,0.055831,0.241888,0.0988702
69,50,8,0.154131,0.0558086,0.242059,0.0988781
70,50,8,0.154191,0.0557863,0.242229,0.0988863
71,50,8,0.15425,0.055764,0.2424,0.0988954
72,50,8,0.15431,0.0557417,0.242571,0.0989057
73,50,8,0.15437,0.0557196,0.242741,0.0989167
74,50,8,0.15443,0.0556976,0.242913,0.0989287
75,50,8,0.15449,0.0556757,0.243084,0.0989409
76,50,8,0.154551,0.0556539,0.243255,0.0989539
77,50,8,0.154612,0.0556322,0.243426,0.0989676
78,50,8,0.154673,0.0556106,0.243598,0.098982
79,50,8,0.154734,0.0555889,0.243769,0.0989972
80,50,8,0.154795,0.0555674,0.243941,0.0990132
81,50,8,0.154857,0.055546,0.244113,0.0990297
82,50,8,0.154918,0.0555248,0.244285,0.0990466
83,50,8,0.15498,0.0555037,0.244458,0.0990638
84,50,8,0.155042,0.0554827,0.24463,0.0990814
85,50,8,0.155104,0.0554617,0.244803,0.0991
86,50,8,0.155167,0.0554407,0.244976,0.0991197
87,50,8,0.15523,0.0554198,0.245149,0.0991406
88,50,8,0.155293,0.055399,0.245323,0.0991618
89,50,8,0.155356,0.0553781,0.245497,0.099184
90,50,8,0.15542,0.0553574,0.24567,0.0992064
91,50,8,0.155484,0.0553367,0.245844,0.0992295
92,50,8,0.155548,0.0553162,0.246019,0.0992531
93,50,8,0.155612,0.0552957,0.246193,0.0992775
94,50,8,0.155677,0.0552755,0.246368,0.0993022
95,50,8,0.155742,0.0552553,0.246543,0.0993278
96,50,8,0.155807,0.0552351,0.246718,0.099354
97,50,8,0.155872,0.055215,0.246893,0.0993812
98,50,8,0.155938,0.0551949,0.247068,0.0994088
99,50,8,0.156004,0.0551751,0.247244,0.0994373
100,50,8,0.15607,0.0551553,0.24742,0.0994661
101,50,8,0.156136,0.0551358,0.247596,0.0994951
102,50,8,0.156202,0.0551163,0.247772,0.0995249
103,50,8,0.156269,0.055097,0.247949,0.0995551
104,50,8,0.156336,0.055078,0.248126,0.099586
105,50,8,0.156403,0.0550588,0.248303,0.0996176
106,50,8,0.15647,0.0550398,0.24848,0.0996503
107,50,8,0.156538,0.0550209,0.248657,0.0996839
108,50,8,0.156606,0.0550021,0.248834,0.0997182
109,50,8,0.156674,0.0549833,0.249012,0.0997536
110,50,8,0.156742,0.0549646,0.249189,0.09979
111,50,8,0.156811,0.054946,0.249367,0.0998266
112,50,8,0.156879,0.0549275,0.249545,0.0998641
113,50,8,0.156948,0.054909,0.249723,0.0999024
114,50,8,0.157017,0.0548907,0.249902,0.099941
115,50,8,0.157087,0.0548725,0.25008,0.0999801
116,50,8,0.157156,0.0548542,0.250259,0.10002
117,50,8,0.157226,0.0548361,0.250437,0.10006
118,50,8,0.157296,0.0548181,0.250616,0.100101
119,50,8,0.157366,0.0548001,0.250795,0.100143
120,50,8,0.157436,0.0547824,0.250975,0.100186
121,50,8,0.157507,0.0547647,0.251154,0.100229
122,50,8,0.157577,0.0547472,0.251334,0.100272
123,50,8,0.157648,0.0547297,0.251514,0.100315
124,50,8,0.157719,0.0547123,0.251693,0.100359
125,50,8,0.15779,0.0546948,0.251873,0.100404
126,50,8,0.157861,0.0546774,0.252053,0.10045
127,50,8,0.157933,0.0546601,0.252234,0.100496
128,50,8,0.158005,0.054643,0.252415,0.100543
129,50,8,0.158077,0.0546258,0.252596,0.100591
130,50,8,0.158149,0.0546087,0.252777,0.10064
131,50,8,0.158222,0.0545917,0.252958,0.100689
132,50,8,0.158295,0.0545748,0.253139,0.100738
133,50,8,0.158368,0.0545579,0.253321,0.100789
134,50,8,0.158441,0.054541,0.253502,0.10084
135,50,8,0.158515,0.0545244,0.253684,0.100892
136,50,8,0.158588,0.0545077,0.253866,0.100945
137,50,8,0.158662,0.0544912,0.254048,0.100998
138,50,8,0.158736,0.0544748,0.25423,0.101051
139,50,8,0.15881,0.0544585,0.254413,0.101105
140,50,8,0.158884,0.0544423,0.254595,0.10116
141,50,8,0.158959,0.0544261,0.254778,0.101216
142,50,8,0.159034,0.0544102,0.254961,0.101272
143,50,8,0.159108,0.0543943,0.255145,0.101329
144,50,8,0.159183,0.0543786,0.255328,0.101386
145,50,8,0.159259,0.0543628,0.255512,0.101444
146,50,8,0.159334,0.0543472,0.255696,0.101503
147,50,8,0.15941,0.0543316,0.255879,0.101562
148,50,8,0.159486,0.0543161,0.256063,0.101623
149,50,8,0.159562,0.0543006,0.256247,0.101684
150,50,8,0.159638,0.0542852,0.256431,0.101745
151,50,8,0.159715,0.0542701,0.256615,0.101807
152,50,8,0.159791,0.0542552,0.256799,0.101869
153,50,8,0.159868,0.0542405,0.256984,0.101931
154,50,8,0.159945,0.0542258,0.257169,0.101994
155,50,8,0.160022,0.0542112,0.257354,0.102058
156,50,8,0.160099,0.0541967,0.257539,0.102123
157,50,8,0.160177,0.0541823,0.257724,0.102188
158,50,8,0.160254,0.0541681,0.257909,0.102254
159,50,8,0.160332,0.0541539,0.258095,0.10232
160,50,8,0.16041,0.0541398,0.25828,0.102387
161,50,8,0.160488,0.0541259,0.258466,0.102455
162,50,8,0.160566,0.0541121,0.258652,0.102523
163,50,8,0.160645,0.0540983,0.258838,0.102592
164,50,8,0.160723,0.0540846,0.259024,0.102661
165,50,8,0.160802,0.054071,0.25921,0.102731
166,50,8,0.160881,0.0540574,0.259396,0.102802
167,50,8,0.160961,0.0540439,0.259583,0.102873
168,50,8,0.16104,0.0540304,0.259769,0.102946
169,50,8,0.16112,0.0540171,0.259956,0.103018
170,50,8,0.161199,0.0540037,0.260143,0.103091
171,50,8,0.161279,0.0539905,0.26033,0.103165
172,50,8,0.16136,0.0539774,0.260517,0.10324
173,50,8,0.16144,0.0539642,0.260704,0.103316
174,50,8,0.16152,0.0539511,0.260891,0.103393
175,50,8,0.161601,0.0539381,0.261078,0.103471
176,50,8,0.161682,0.0539251,0.261265,0.103549
177,50,8,0.161763,0.0539123,0.261453,0.103628
178,50,8,0.161844,0.0538995,0.26164,0.103708
179,50,8,0.161926,0.0538867,0.261828,0.103788
180,50,8,0.162007,0.0538739,0.262016,0.103869
181,50,8,0.162089,0.0538614,0.262204,0.103951
182,50,8,0.162171,0.0538489,0.262392,0.104033
183,50,8,0.162253,0.0538365,0.26258,0.104116
184,50,8,0.162336,0.0538243,0.262768,0.1042
185,50,8,0.162419,0.0538121,0.262957,0.104284
186,50,8,0.162502,0.0538001,0.263145,0.104369
187,50,8,0.162585,0.0537881,0.263334,0.104455
