iteration,n_agents,c0,m0,s0,mx0,mn0
122,50,20,0.357972,0.160647,0.611841,0.107391
123,50,20,0.357948,0.160667,0.611681,0.107287
124,50,20,0.357925,0.160686,0.611521,0.107184
125,50,20,0.357902,0.160705,0.611361,0.107079
126,50,20,0.357878,0.160725,0.611201,0.106975
127,50,20,0.357855,0.160745,0.61104,0.106871
128,50,20,0.357832,0.160764,0.61088,0.106767
129,50,20,0.357809,0.160784,0.610719,0.106663
130,50,20,0.357786,0.160804,0.610558,0.106559
131,50,20,0.357763,0.160824,0.610397,0.106455
132,50,20,0.35774,0.160844,0.610236,0.106305
133,50,20,0.357718,0.160864,0.610074,0.106107
134,50,20,0.357695,0.160884,0.609912,0.10591
135,50,20,0.357672,0.160905,0.609751,0.105712
136,50,20,0.35765,0.160925,0.609589,0.105515
137,50,20,0.357627,0.160945,0.609427,0.105317
138,50,20,0.357605,0.160966,0.609264,0.10512
139,50,20,0.357582,0.160986,0.609102,0.104923
140,50,20,0.35756,0.161007,0.608939,0.104726
141,50,20,0.357538,0.161028,0.608775,0.104529
142,50,20,0.357515,0.161049,0.608611,0.104332
143,50,20,0.357493,0.16107,0.608448,0.104134
144,50,20,0.357471,0.161091,0.608284,0.103937
145,50,20,0.357449,0.161112,0.60812,0.103741
146,50,20,0.357427,0.161133,0.607955,0.103544
147,50,20,0.357405,0.161154,0.607791,0.103347
148,50,20,0.357383,0.161175,0.607627,0.10315
149,50,20,0.357362,0.161197,0.607463,0.102954
150,50,20,0.35734,0.161218,0.607299,0.102757
151,50,20,0.357318,0.16124,0.607135,0.10256
152,50,20,0.357297,0.161262,0.60697,0.102364
153,50,20,0.357275,0.161284,0.606806,0.102167
154,50,20,0.357254,0.161306,0.606641,0.101971
155,50,20,0.357232,0.161328,0.606476,0.101774
156,50,20,0.357211,0.16135,0.606311,0.101578
157,50,20,0.357189,0.161373,0.606146,0.101382
158,50,20,0.357168,0.161395,0.60598,0.101185
159,50,20,0.357147,0.161417,0.605815,0.100989
160,50,20,0.357125,0.16144,0.605649,0.100793
161,50,20,0.357104,0.161463,0.605483,0.100597
162,50,20,0.357083,0.161485,0.605317,0.100401
163,50,20,0.357062,0.161508,0.605151,0.100205
164,50,20,0.357041,0.161531,0.604985,0.100009
165,50,20,0.35702,0.161554,0.604819,0.0998129
166,50,20,0.357,0.161577,0.604652,0.0996171
167,50,20,0.356979,0.161601,0.604485,0.0994215
168,50,20,0.356958,0.161624,0.604318,0.0992259
169,50,20,0.356938,0.161648,0.604151,0.0990303
170,50,20,0.356917,0.161671,0.603983,0.0988349
171,50,20,0.356897,0.161695,0.603815,0.0986396
172,50,20,0.356876,0.161718,0.603647,0.0984445
173,50,20,0.356856,0.161742,0.603479,0.0982493
174,50,20,0.356835,0.161766,0.603311,0.0980543
175,50,20,0.356815,0.16179,0.603142,0.0978594
176,50,20,0.356794,0.161814,0.602974,0.0976646
177,50,20,0.356774,0.161837,0.602805,0.0974699
178,50,20,0.356754,0.161862,0.602636,0.0972752
179,50,20,0.356734,0.161886,0.602467,0.0970807
180,50,20,0.356714,0.16191,0.602298,0.0968863
181,50,20,0.356694,0.161934,0.602393,0.0966918
182,50,20,0.356674,0.161959,0.60252,0.0964975
183,50,20,0.356655,0.161983,0.602647,0.0963032
184,50,20,0.356635,0.162008,0.602775,0.0961091
185,50,20,0.356615,0.162032,0.602903,0.0959151
186,50,20,0.356596,0.162057,0.603032,0.0957211
187,50,20,0.356576,0.162082,0.60316,0.0955273
188,50,20,0.356557,0.162107,0.603289,0.0953336
189,50,20,0.356538,0.162132,0.603418,0.09514
190,50,20,0.356518,0.162157,0.603547,0.0949465
191,50,20,0.356499,0.162182,0.603677,0.094753
192,50,20,0.35648,0.162207,0.603807,0.0945595
193,50,20,0.356461,0.162232,0.603938,0.0943663
194,50,20,0.356442,0.162257,0.604069,0.0941732
195,50,20,0.356424,0.162283,0.6042,0.0939803
196,50,20,0.356405,0.162308,0.604331,0.0937874
197,50,20,0.356386,0.162334,0.604463,0.0935947
198,50,20,0.356368,0.16236,0.604595,0.093402
199,50,20,0.356349,0.162386,0.604727,0.0932095
200,50,20,0.356331,0.162412,0.60486,0.0930169
201,50,20,0.356312,0.162438,0.604993,0.0928245
202,50,20,0.356294,0.162464,0.605126,0.0926322
203,50,20,0.356276,0.16249,0.60526,0.0924398
204,50,20,0.356257,0.162517,0.605394,0.0922475
205,50,20,0.356239,0.162543,0.605528,0.0920553
206,50,20,0.356221,0.16257,0.605662,0.0918632
207,50,20,0.356203,0.162597,0.605797,0.0916712
208,50,20,0.356185,0.162623,0.605931,0.0914792
209,50,20,0.356167,0.16265,0.606066,0.0912874
210,50,20,0.356149,0.162677,0.606201,0.0910957
211,50,20,0.356131,0.162704,0.606336,0.0909042
212,50,20,0.356114,0.16273,0.606471,0.0907129
213,50,20,0.356096,0.162757,0.606606,0.0905218
214,50,20,0.356079,0.162784,0.606742,0.0903308
215,50,20,0.356061,0.162812,0.606878,0.0901401
216,50,20,0.356044,0.162839,0.607015,0.0899495
217,50,20,0.356027,0.162866,0.607152,0.0897591
218,50,20,0.356009,0.162894,0.607289,0.0895688
219,50,20,0.355992,0.162921,0.607428,0.0893785
220,50,20,0.355975,0.162949,0.607566,0.0891881
221,50,20,0.355959,0.162977,0.607705,0.088998
222,50,20,0.355942,0.163005,0.607844,0.0888081
223,50,20,0.355925,0.163033,0.607984,0.0886184
224,50,20,0.355908,0.163061,0.608123,0.088429
225,50,20,0.355891,0.163089,0.608263,0.0882396
226,50,20,0.355875,0.163117,0.608403,0.0880502
227,50,20,0.355858,0.163145,0.608543,0.087861
228,49,19,0.369956,0.155057,0.608684,0.0968671
229,49,20,0.364435,0.153045,0.608825,0.0967745
230,49,19,0.369942,0.155087,0.608966,0.0966815
231,49,20,0.364413,0.153079,0.609107,0.0965883
232,49,19,0.369928,0.155118,0.609249,0.0964952
233,49,20,0.364391,0.153114,0.60939,0.0964021
234,49,19,0.369914,0.155149,0.609532,0.0963089
235,49,20,0.36437,0.15315,0.609674,0.0962159
236,49,19,0.3699,0.15518,0.609817,0.0961229
237,49,20,0.364349,0.153185,0.609959,0.09603
238,49,19,0.369886,0.155212,0.610103,0.0959374
239,49,20,0.364328,0.153221,0.610246,0.0958451
240,49,19,0.369873,0.155245,0.610389,0.095753
241,49,19,0.369867,0.155261,0.610533,0.0956607
242,49,19,0.36986,0.155277,0.610677,0.0955682
243,49,20,0.364288,0.153294,0.61082,0.095476
244,49,19,0.369847,0.15531,0.610964,0.095384
245,49,20,0.364268,0.153331,0.611109,0.095292
246,49,19,0.369835,0.155344,0.611253,0.0952002
247,49,20,0.364249,0.153368,0.611399,0.0951086
248,49,19,0.369823,0.155378,0.611544,0.0950168
249,49,20,0.36423,0.153406,0.611689,0.0949249
250,49,19,0.369811,0.155412,0.611835,0.0948329
251,49,20,0.364211,0.153444,0.61198,0.0947405
252,49,19,0.369798,0.155447,0.612127,0.0946484
253,49,20,0.364192,0.153482,0.612273,0.094556
254,49,19,0.369787,0.155483,0.612419,0.094464
255,49,20,0.364174,0.153521,0.612566,0.0943718
256,49,19,0.369775,0.155519,0.612712,0.0942793
257,49,20,0.364155,0.153561,0.612859,0.0941874
258,49,19,0.369764,0.155555,0.613006,0.0940951
259,49,20,0.364138,0.1536,0.613154,0.0940029
260,49,20,0.364129,0.15362,0.613302,0.0939105
261,49,19,0.369747,0.15561,0.61345,0.093818
262,49,19,0.369742,0.155628,0.613598,0.0937259
263,49,20,0.364103,0.15368,0.613747,0.0936337
264,49,23,0.393013,0.168937,0.778459,0.0935412
265,49,22,0.399202,0.170208,0.778658,0.0934484
266,49,20,0.380828,0.160597,0.614194,0.0933554
267,49,21,0.412173,0.176696,0.779056,0.0932626
268,49,18,0.37943,0.162522,0.614495,0.0931697
269,49,22,0.398891,0.169294,0.721236,0.0930772
270,49,24,0.416012,0.176632,0.746914,0.0929852
271,49,22,0.458495,0.235198,0.967395,0.092893
272,49,26,0.457356,0.222188,0.967195,0.0928006
273,49,23,0.442017,0.217138,0.966995,0.0927087
274,49,19,0.421888,0.238021,0.966795,0.0926172
275,49,18,0.431068,0.241235,0.966595,0.0925256
276,49,19,0.42185,0.238024,0.966395,0.0924341
277,49,18,0.431035,0.241235,0.966196,0.0923431
278,49,18,0.431019,0.241235,0.965996,0.0922526
279,49,18,0.431002,0.241235,0.965796,0.0921624
280,49,18,0.430986,0.241235,0.965596,0.092072
281,49,18,0.430969,0.241235,0.965396,0.0919818
282,49,18,0.430953,0.241235,0.965196,0.0918912
283,49,18,0.430937,0.241235,0.964996,0.091801
284,49,18,0.430921,0.241235,0.964796,0.0917113
285,49,18,0.430905,0.241235,0.964596,0.0916216
286,49,18,0.430888,0.241235,0.964396,0.0915316
287,49,18,0.430872,0.241235,0.964196,0.0914416
288,49,18,0.430856,0.241235,0.963996,0.0913521
289,49,18,0.43084,0.241235,0.963796,0.0912626
290,49,18,0.430824,0.241235,0.963597,0.0911733
291,49,18,0.430808,0.241235,0.963397,0.0910837
