iteration,c0,m0,s0,mx0,mn0
0,5,0.162564,0.113017,0.358804,0.0154634
1,8,0.221785,0.129699,0.446605,0.0152721
2,7,0.189725,0.104817,0.359189,0.015081
3,7,0.189782,0.104883,0.359381,0.01489
4,7,0.18984,0.104949,0.359573,0.014699
5,8,0.221904,0.129693,0.445946,0.0145081
6,7,0.189955,0.105081,0.359958,0.0143173
7,8,0.221964,0.129691,0.445617,0.0141267
8,8,0.221994,0.129691,0.445453,0.0139364
9,8,0.222024,0.12969,0.445289,0.0137463
10,7,0.190188,0.105348,0.360726,0.0135564
11,7,0.190246,0.105415,0.360918,0.0133665
12,7,0.190305,0.105483,0.36111,0.0131769
13,8,0.222147,0.129691,0.444635,0.0129874
14,8,0.222178,0.129692,0.444472,0.0127983
15,7,0.190481,0.105685,0.361685,0.0126095
16,6,0.178137,0.109412,0.361876,0.0124208
17,6,0.232898,0.137951,0.434085,0.0122325
18,6,0.232904,0.138015,0.434087,0.0120445
19,7,0.190718,0.105957,0.36245,0.0118568
20,7,0.263,0.147604,0.443497,0.0116693
21,6,0.232924,0.138205,0.434089,0.011482
22,8,0.222432,0.129702,0.443175,0.0112953
23,6,0.232937,0.138332,0.434089,0.0111087
24,8,0.222498,0.129707,0.442854,0.0109224
25,7,0.191078,0.106368,0.363593,0.0107364
26,7,0.262897,0.147734,0.442534,0.0105506
27,5,0.16462,0.115644,0.363973,0.0103654
28,6,0.21095,0.147851,0.442215,0.0101806
29,7,0.191321,0.106643,0.364353,0.00999642
30,7,0.262832,0.147821,0.441896,0.00981279
31,6,0.232995,0.138837,0.434093,0.00962966
32,7,0.191505,0.10685,0.364922,0.00944717
33,7,0.262784,0.147886,0.441418,0.0092654
34,6,0.23302,0.139025,0.434094,0.00908412
35,6,0.233029,0.139088,0.434095,0.00890349
36,6,0.21126,0.147864,0.440942,0.00872339
37,8,0.222937,0.129747,0.440784,0.00854393
38,7,0.262709,0.147993,0.440626,0.00836544
39,5,0.165561,0.116802,0.366248,0.00818776
40,8,0.223043,0.129758,0.44031,0.00801081
41,7,0.262666,0.148056,0.440152,0.00783482
42,7,0.262652,0.148076,0.439995,0.00765977
43,6,0.211541,0.147876,0.439838,0.0074859
44,8,0.223187,0.129774,0.439681,0.00731342
45,6,0.179339,0.111195,0.367382,0.00714245
46,7,0.262598,0.148156,0.439367,0.00697278
47,5,0.166205,0.117561,0.367759,0.00680433
48,8,0.223335,0.129788,0.439053,0.00663723
49,6,0.17952,0.111438,0.368135,0.0064717
50,7,0.262547,0.148231,0.438741,0.00630818
51,6,0.233194,0.140051,0.434047,0.00614647
52,7,0.262524,0.148266,0.43843,0.00598709
53,8,0.223528,0.129802,0.438274,0.0058298
54,7,0.216664,0.137386,0.438119,0.00567506
