iteration,c0,m0,s0,mx0,mn0
0,5,0.14206,0.0322387,0.175107,0.0841821
1,3,0.138055,0.038959,0.175228,0.08425
2,3,0.138161,0.038984,0.175348,0.0843185
3,7,0.211053,0.0698146,0.295398,0.0843872
4,7,0.211166,0.0698335,0.295568,0.0844571
5,7,0.211279,0.0698523,0.295737,0.0845276
6,8,0.192096,0.0732715,0.331695,0.0845992
7,10,0.210822,0.0755502,0.331495,0.0846718
8,10,0.210878,0.0755278,0.331295,0.0847447
9,8,0.205613,0.0673835,0.29642,0.0848181
10,10,0.210989,0.0754835,0.330895,0.084892
11,8,0.205767,0.0674633,0.296761,0.0849665
12,8,0.205844,0.0675034,0.296933,0.0850412
13,8,0.192286,0.0728147,0.330295,0.085117
14,8,0.192314,0.0727498,0.330095,0.0851937
15,8,0.206077,0.0676233,0.297448,0.0852713
16,10,0.211326,0.0753538,0.329695,0.0853496
17,8,0.206233,0.0677034,0.297794,0.0854287
18,10,0.211439,0.0753115,0.329295,0.0855084
19,8,0.192454,0.0724258,0.329095,0.0855889
20,8,0.206468,0.0678237,0.298312,0.0856703
21,8,0.206547,0.0678638,0.298485,0.0857527
22,8,0.206626,0.0679038,0.298659,0.0858359
23,10,0.211723,0.0752078,0.328295,0.0859199
24,10,0.211781,0.0751874,0.328095,0.0860045
25,8,0.206863,0.0680241,0.29918,0.08609
26,10,0.211896,0.0751471,0.327695,0.086176
27,8,0.207023,0.0681048,0.299529,0.0862629
28,10,0.212011,0.0751075,0.327296,0.0863503
29,8,0.207182,0.0681857,0.29988,0.0864384
30,8,0.207262,0.0682261,0.300055,0.0865276
31,8,0.192804,0.0716558,0.326696,0.0866171
32,8,0.192833,0.0715921,0.326496,0.0867074
33,8,0.207503,0.0683476,0.300583,0.0867986
34,8,0.207584,0.0683881,0.300759,0.0868908
35,10,0.212419,0.074973,0.325896,0.0869833
36,8,0.207745,0.0684695,0.301112,0.087076
37,10,0.212536,0.0749362,0.325497,0.0871695
38,10,0.212595,0.0749181,0.325297,0.0872633
39,8,0.207989,0.0685924,0.301645,0.0873574
40,8,0.193076,0.0710868,0.324897,0.0874526
41,8,0.193107,0.071024,0.324697,0.0875488
42,10,0.212831,0.0748466,0.324498,0.0876459
43,8,0.193169,0.0708986,0.324298,0.0877438
44,10,0.212949,0.0748114,0.324098,0.0878426
45,8,0.208479,0.0688371,0.302713,0.087942
46,8,0.193263,0.0707112,0.323699,0.088042
47,8,0.208643,0.0689187,0.30307,0.0881428
48,8,0.208725,0.0689596,0.303249,0.0882444
49,10,0.213248,0.0747257,0.323101,0.0883468
50,8,0.20889,0.0690413,0.303608,0.0884497
51,8,0.208973,0.0690822,0.303787,0.0885536
52,8,0.193454,0.0703389,0.322502,0.088658
53,8,0.209139,0.0691642,0.304147,0.088763
54,10,0.213549,0.0746438,0.322104,0.0888686
55,10,0.213609,0.074628,0.321904,0.0889748
56,10,0.21367,0.0746123,0.321705,0.0890813
57,7,0.203184,0.0719496,0.304869,0.0891883
58,7,0.20124,0.0735307,0.30505,0.0892963
59,6,0.211549,0.0747345,0.305231,0.0894046
60,6,0.211677,0.0747548,0.305413,0.0895131
61,6,0.211805,0.0747749,0.305595,0.0896225
62,6,0.211933,0.074795,0.305777,0.0897321
63,6,0.212061,0.074815,0.305959,0.0898422
64,6,0.212189,0.0748349,0.306141,0.089953
65,6,0.212317,0.0748547,0.306323,0.090064
66,7,0.230692,0.0824799,0.340171,0.0901752
67,7,0.23078,0.0824422,0.34002,0.0902871
68,7,0.230868,0.0824045,0.339869,0.0903995
69,7,0.230957,0.082367,0.339718,0.0905122
70,7,0.231045,0.0823297,0.339567,0.090625
71,7,0.231133,0.0822924,0.339417,0.0907386
72,7,0.231221,0.082255,0.339267,0.0908528
73,7,0.23131,0.0822176,0.339116,0.0909674
74,7,0.231398,0.0821804,0.338966,0.0910824
75,7,0.231486,0.0821432,0.338817,0.0911976
76,7,0.231575,0.0821061,0.338667,0.0913133
77,7,0.231664,0.082069,0.338519,0.0914299
78,7,0.231753,0.082032,0.33837,0.0915471
79,7,0.231841,0.081995,0.338222,0.0916648
80,7,0.23193,0.081958,0.338073,0.0917831
81,7,0.232019,0.081921,0.337925,0.0919017
82,7,0.232107,0.0818842,0.337776,0.0920207
83,7,0.232196,0.0818476,0.337629,0.0921399
84,7,0.232285,0.0818109,0.337481,0.0922596
85,7,0.232374,0.0817743,0.337334,0.0923801
86,7,0.232462,0.0817377,0.337186,0.0925009
87,7,0.232551,0.0817011,0.337039,0.0926226
88,7,0.23264,0.0816644,0.336891,0.0927451
89,7,0.232729,0.0816276,0.336743,0.0928681
90,7,0.232818,0.0815911,0.336596,0.0929913
91,7,0.232907,0.0815547,0.33645,0.0931148
92,7,0.232996,0.0815185,0.336303,0.0932387
93,7,0.233086,0.0814823,0.336157,0.0933628
94,7,0.233175,0.0814461,0.336012,0.0934874
95,7,0.233265,0.0814099,0.335866,0.0936127
96,7,0.233354,0.0813738,0.335721,0.0937385
97,7,0.233444,0.0813376,0.335576,0.0938651
98,7,0.233533,0.0813016,0.335432,0.093992
99,7,0.233623,0.0812655,0.335288,0.0941197
100,7,0.233713,0.0812294,0.335144,0.0942479
101,5,0.206607,0.0811827,0.335,0.0943766
102,7,0.21315,0.0823409,0.334857,0.0945059
103,7,0.213182,0.0822244,0.334714,0.0946354
104,5,0.198665,0.0844452,0.334571,0.0947657
105,6,0.19305,0.0706229,0.31197,0.0948961
106,8,0.220496,0.0775354,0.313921,0.095027
107,8,0.220585,0.0774974,0.314109,0.0951586
108,7,0.201864,0.0771807,0.314296,0.0952907
109,8,0.220763,0.0774216,0.314484,0.0954234
110,5,0.186356,0.0730784,0.292007,0.0955568
111,8,0.220942,0.077346,0.31486,0.0956908
112,8,0.238942,0.0945843,0.371371,0.0958253
113,6,0.245366,0.100065,0.37147,0.0959599
114,4,0.196427,0.0860507,0.333159,0.0960947
115,6,0.212033,0.0797875,0.315614,0.0962298
116,8,0.221387,0.0771594,0.315802,0.0963655
117,8,0.201002,0.0721065,0.309599,0.096502
118,4,0.170804,0.0735955,0.293252,0.0966389
119,8,0.23964,0.0943759,0.372067,0.0967762
120,10,0.233671,0.0906271,0.372168,0.0969142
121,10,0.233711,0.0905986,0.37227,0.0970528
122,5,0.220936,0.105186,0.372372,0.0971916
123,4,0.16687,0.0555908,0.251722,0.0973308
124,6,0.194216,0.0687249,0.30822,0.0974703
125,6,0.194277,0.0686247,0.308024,0.09761
126,4,0.167216,0.0555123,0.251934,0.0977501
127,6,0.213643,0.0799187,0.317887,0.0978905
128,8,0.240545,0.0941187,0.372992,0.0980311
129,5,0.221893,0.105199,0.373097,0.0981719
130,6,0.214045,0.0799505,0.318459,0.0983131
