iteration,c0,m0,s0,mx0,mn0
0,2,0.142578,0.0572829,0.199861,0.0852955
1,4,0.22067,0.0915205,0.334065,0.085211
2,4,0.220573,0.091533,0.333971,0.0851266
3,4,0.220476,0.0915457,0.333878,0.085042
4,4,0.220379,0.0915586,0.333786,0.0849576
5,4,0.220282,0.0915715,0.333693,0.0848731
6,4,0.220186,0.0915845,0.333601,0.084789
7,4,0.220089,0.0915975,0.333509,0.0847047
8,4,0.219993,0.0916104,0.333416,0.0846208
9,4,0.219896,0.0916237,0.333325,0.0845366
10,4,0.2198,0.091637,0.333233,0.0844527
11,4,0.219704,0.0916503,0.333142,0.0843688
12,4,0.219608,0.0916638,0.333051,0.0842848
13,4,0.219511,0.0916772,0.33296,0.0842013
14,4,0.219415,0.0916906,0.33287,0.0841181
15,4,0.219319,0.091704,0.332779,0.0840351
16,4,0.219223,0.0917174,0.332689,0.0839524
17,4,0.219127,0.0917308,0.3326,0.0838699
18,4,0.219032,0.0917443,0.332511,0.0837879
19,4,0.218936,0.0917579,0.332422,0.083706
20,4,0.218841,0.0917718,0.332334,0.083624
21,4,0.218746,0.091786,0.332247,0.0835418
22,4,0.218651,0.0918002,0.33216,0.0834601
23,4,0.218556,0.0918146,0.332074,0.0833781
24,4,0.218461,0.0918291,0.331988,0.0832963
25,4,0.218366,0.0918438,0.331902,0.0832146
26,4,0.218272,0.0918587,0.331818,0.0831331
27,4,0.218177,0.0918735,0.331733,0.083052
28,4,0.218083,0.0918885,0.33165,0.0829713
29,4,0.217989,0.0919037,0.331567,0.0828908
30,4,0.217896,0.0919193,0.331485,0.08281
31,4,0.217802,0.091935,0.331403,0.0827296
32,4,0.217708,0.0919507,0.331322,0.0826489
33,4,0.217615,0.0919663,0.331241,0.0825686
34,4,0.217521,0.0919821,0.331159,0.0824882
35,4,0.217428,0.0919979,0.331078,0.0824076
36,4,0.217334,0.092014,0.330998,0.0823271
37,4,0.217241,0.0920298,0.330917,0.0822471
38,4,0.217147,0.0920458,0.330837,0.0821671
39,4,0.217054,0.0920619,0.330757,0.0820873
40,4,0.216961,0.092078,0.330679,0.0820079
41,4,0.216868,0.0920942,0.3306,0.0819288
42,4,0.216775,0.0921104,0.330522,0.0818499
43,4,0.216683,0.0921268,0.330444,0.081771
44,4,0.21659,0.0921433,0.330366,0.081692
45,4,0.216498,0.0921601,0.330289,0.0816132
46,4,0.216406,0.0921769,0.330212,0.0815342
47,4,0.216313,0.0921939,0.330136,0.0814553
48,4,0.216221,0.0922108,0.330059,0.0813767
49,4,0.216129,0.0922276,0.329983,0.0812985
50,4,0.216037,0.0922445,0.329908,0.0812202
51,4,0.215945,0.0922619,0.329833,0.0811416
52,4,0.215853,0.0922791,0.329758,0.0810635
53,4,0.215761,0.0922963,0.329683,0.0809855
54,4,0.215669,0.0923137,0.329609,0.0809077
55,4,0.215577,0.092331,0.329536,0.0808304
56,4,0.215486,0.0923482,0.329463,0.0807536
57,4,0.215394,0.0923654,0.329389,0.0806768
58,4,0.215302,0.0923828,0.329317,0.0805999
59,4,0.215211,0.0924003,0.329245,0.0805231
60,4,0.215119,0.0924179,0.329173,0.0804465
61,4,0.215028,0.0924356,0.329101,0.0803698
62,4,0.214937,0.0924535,0.329031,0.0802934
63,4,0.214846,0.0924715,0.32896,0.0802173
64,4,0.214755,0.0924895,0.328891,0.0801415
65,4,0.214664,0.0925077,0.328822,0.0800657
66,4,0.214573,0.092526,0.328753,0.07999
67,4,0.214483,0.0925442,0.328684,0.0799143
68,4,0.214392,0.0925625,0.328615,0.0798384
69,4,0.214301,0.0925811,0.328547,0.0797624
70,4,0.214211,0.0925999,0.328479,0.0796863
71,4,0.21412,0.0926188,0.328411,0.0796103
72,4,0.21403,0.0926379,0.328344,0.0795341
73,4,0.213939,0.0926568,0.328277,0.0794584
74,4,0.213849,0.0926758,0.32821,0.0793826
75,4,0.213758,0.0926949,0.328143,0.0793068
76,4,0.213668,0.0927142,0.328077,0.079231
77,4,0.213578,0.0927336,0.328011,0.079155
78,4,0.213487,0.0927533,0.327946,0.0790788
79,4,0.213397,0.0927731,0.327881,0.079003
80,4,0.213308,0.0927929,0.327817,0.0789276
81,4,0.213218,0.0928126,0.327753,0.0788528
82,4,0.213129,0.0928322,0.32769,0.0787786
83,4,0.213039,0.092852,0.327626,0.078704
84,4,0.21295,0.0928718,0.327563,0.0786297
85,4,0.212861,0.0928915,0.3275,0.0785559
86,4,0.212772,0.0929113,0.327437,0.0784822
87,4,0.212683,0.0929312,0.327375,0.078409
88,4,0.212594,0.0929511,0.327314,0.078336
89,4,0.212506,0.0929712,0.327253,0.078263
90,4,0.212417,0.0929912,0.327192,0.0781906
91,4,0.212329,0.0930112,0.327132,0.0781185
92,4,0.212241,0.0930313,0.327073,0.0780464
93,4,0.212153,0.0930513,0.327013,0.0779749
94,4,0.212065,0.0930716,0.326955,0.0779032
95,4,0.211977,0.0930918,0.326897,0.077832
96,4,0.211889,0.0931119,0.326838,0.0777607
97,4,0.211801,0.093132,0.32678,0.07769
98,4,0.211713,0.093152,0.326723,0.0776197
99,4,0.211625,0.093172,0.326665,0.0775495
100,4,0.211538,0.0931922,0.326609,0.0774795
101,4,0.21145,0.0932125,0.326552,0.0774092
102,4,0.211363,0.0932328,0.326495,0.0773389
103,4,0.211275,0.0932532,0.326439,0.0772684
104,4,0.211187,0.093274,0.326383,0.0771978
105,4,0.2111,0.0932949,0.326328,0.077127
106,4,0.211012,0.0933156,0.326272,0.0770567
107,4,0.210925,0.0933363,0.326217,0.0769864
108,4,0.210838,0.0933572,0.326161,0.0769161
109,4,0.210751,0.0933781,0.326106,0.0768459
110,4,0.210664,0.0933992,0.326051,0.0767753
111,4,0.210577,0.0934206,0.325997,0.0767049
112,4,0.21049,0.0934418,0.325942,0.0766346
113,4,0.210403,0.0934633,0.325889,0.0765646
114,4,0.210317,0.0934848,0.325835,0.0764944
115,4,0.21023,0.0935067,0.325782,0.0764239
116,4,0.210144,0.0935284,0.32573,0.076354
117,4,0.210057,0.0935503,0.325677,0.0762839
118,4,0.209971,0.093572,0.325625,0.0762145
119,4,0.209885,0.0935936,0.325574,0.0761454
120,4,0.209799,0.0936152,0.325522,0.0760766
121,4,0.209713,0.0936368,0.32547,0.0760076
122,4,0.209626,0.0936588,0.32542,0.0759384
123,4,0.209541,0.0936809,0.325369,0.0758695
124,4,0.209455,0.0937033,0.32532,0.0758003
125,4,0.209369,0.093726,0.325271,0.0757309
126,4,0.209283,0.0937487,0.325221,0.0756613
127,4,0.209198,0.0937716,0.325173,0.0755918
128,4,0.209112,0.0937944,0.325124,0.0755225
