iteration,c0,m0,s0,mx0,mn0
0,10,0.235975,0.0652482,0.317274,0.15339
1,14,0.249357,0.0652869,0.340892,0.153199
2,11,0.253248,0.0662411,0.341083,0.162775
3,10,0.272921,0.0622707,0.341273,0.175934
4,12,0.261955,0.0658368,0.341464,0.152626
5,10,0.254197,0.0672164,0.340909,0.152434
6,10,0.254258,0.0672923,0.341108,0.152243
7,10,0.254319,0.0673684,0.341306,0.152052
8,10,0.254379,0.0674448,0.341505,0.15186
9,10,0.25444,0.0675214,0.341703,0.151669
10,10,0.254501,0.0675982,0.341901,0.151477
11,10,0.254561,0.0676752,0.342099,0.151285
12,10,0.254621,0.0677525,0.342297,0.151094
13,10,0.254682,0.0678301,0.342495,0.150902
14,10,0.254742,0.0679079,0.342693,0.15071
15,10,0.254802,0.0679859,0.342891,0.150519
16,10,0.254863,0.068064,0.343089,0.150327
17,10,0.254923,0.0681423,0.343286,0.150135
18,10,0.254983,0.0682209,0.343484,0.149944
19,10,0.255044,0.0682997,0.343682,0.149752
20,10,0.255104,0.0683786,0.34388,0.14956
21,10,0.255165,0.0684579,0.344077,0.149368
22,10,0.255225,0.0685373,0.344275,0.149177
23,10,0.255285,0.068617,0.344473,0.148985
24,10,0.255346,0.068697,0.344671,0.148793
25,10,0.255406,0.0687771,0.344868,0.148602
26,10,0.255466,0.0688575,0.345066,0.14841
27,10,0.255527,0.068938,0.345263,0.148218
28,10,0.255587,0.0690187,0.345461,0.148026
29,10,0.255647,0.0690997,0.345658,0.147834
30,10,0.255707,0.0691809,0.345856,0.147642
31,10,0.255767,0.0692624,0.346053,0.14745
32,9,0.248653,0.0694845,0.346251,0.147258
33,9,0.248702,0.069564,0.346448,0.147065
34,9,0.248751,0.0696437,0.346646,0.146873
35,11,0.252567,0.0672377,0.346843,0.146681
36,9,0.24885,0.0698035,0.34704,0.146488
37,11,0.252708,0.0673816,0.347237,0.146296
38,9,0.248948,0.0699639,0.347434,0.146104
39,9,0.276941,0.0795686,0.411921,0.145911
40,12,0.266169,0.0782271,0.411902,0.145719
41,10,0.265373,0.0825888,0.411883,0.145526
42,10,0.265416,0.0826386,0.411865,0.145334
43,9,0.277168,0.0797315,0.411846,0.145142
44,10,0.265323,0.0829391,0.411828,0.144949
45,9,0.277282,0.0798145,0.41181,0.144756
46,10,0.265462,0.0829777,0.411792,0.144564
47,12,0.266613,0.0785373,0.411774,0.144371
48,10,0.265667,0.0829422,0.411757,0.144178
49,9,0.277509,0.0799829,0.411739,0.143985
50,12,0.264137,0.0812576,0.411722,0.143792
51,10,0.262614,0.0859605,0.411705,0.143599
52,12,0.264298,0.0813133,0.411689,0.143406
53,9,0.274335,0.0856246,0.411673,0.143212
54,10,0.266017,0.0831416,0.411657,0.143019
55,8,0.284859,0.0824725,0.411642,0.142826
56,12,0.267183,0.0789548,0.411627,0.142632
57,10,0.266041,0.0834149,0.411613,0.142439
58,12,0.26731,0.0790505,0.411599,0.142246
59,10,0.266124,0.0835229,0.411586,0.142052
60,10,0.266166,0.0835773,0.411573,0.141859
61,12,0.267501,0.0791962,0.411561,0.141665
62,10,0.266249,0.0836869,0.41155,0.141472
63,9,0.278305,0.0806056,0.411539,0.141278
64,12,0.265266,0.0816706,0.411528,0.141084
65,13,0.270185,0.0825962,0.411518,0.14089
66,10,0.270195,0.0858614,0.411507,0.140696
67,10,0.270164,0.0842779,0.411498,0.140502
68,12,0.255214,0.0810841,0.411488,0.140308
69,10,0.266538,0.0840786,0.411479,0.140114
70,10,0.26658,0.0841356,0.41147,0.13992
71,9,0.272717,0.0866283,0.411462,0.139725
72,9,0.278821,0.0810325,0.411453,0.139531
73,12,0.276522,0.0777951,0.411446,0.139336
74,10,0.266745,0.0843656,0.411439,0.139142
75,9,0.278992,0.0811795,0.411432,0.138947
76,12,0.268455,0.0799594,0.411425,0.138753
77,9,0.272879,0.0870627,0.411418,0.138558
78,14,0.286114,0.0832872,0.411412,0.138363
79,14,0.286095,0.0832823,0.411407,0.138168
80,15,0.303902,0.0991348,0.498417,0.137973
81,9,0.265593,0.0776024,0.355843,0.137778
82,9,0.273012,0.0874313,0.411392,0.137583
83,12,0.268899,0.0803353,0.411389,0.137388
